Kod;Rodzaje towarów;Rok;Wartosc;Jednostka miary
0;bilet do kina;1999;8,96;zł
0;bilet do kina;2000;10,33;zł
0;bilet do kina;2001;11,07;zł
0;bilet do kina;2002;11,48;zł
0;bilet do kina;2003;11,72;zł
0;bilet do kina;2004;12,22;zł
0;bilet do kina;2005;12,64;zł
0;bilet do kina;2006;13,2;zł
0;bilet do kina;2007;13,46;zł
0;bilet do kina;2008;13,91;zł
0;bilet do kina;2009;14,52;zł
0;bilet do kina;2010;15,07;zł
0;bilet do kina;2011;15,62;zł
0;bilet do kina;2012;16,36;zł
0;bilet do kina;2013;17,06;zł
0;bilet do kina;2014;17,65;zł
0;bilet do kina;2015;18,23;zł
0;bilet do teatru;1999;14,95;zł
0;bilet do teatru;2000;17,53;zł
0;bilet do teatru;2001;19,45;zł
0;bilet do teatru;2002;21,19;zł
0;bilet do teatru;2003;22,5;zł
0;bilet do teatru;2004;24,62;zł
0;bilet do teatru;2005;26,29;zł
0;bilet do teatru;2006;26,87;zł
0;bilet do teatru;2007;28,7;zł
0;bilet do teatru;2008;30,33;zł
0;bilet do teatru;2009;32,27;zł
0;bilet do teatru;2010;34,53;zł
0;bilet do teatru;2011;37,1;zł
0;bilet do teatru;2012;40,21;zł
0;bilet do teatru;2013;41,61;zł
0;bilet do teatru;2014;43,63;zł
0;bilet do teatru;2015;45,14;zł
0;gazeta - dziennik lokalny;1999;0,83;zł
0;gazeta - dziennik lokalny;2000;0,99;zł
0;gazeta - dziennik lokalny;2001;1,2;zł
0;gazeta - dziennik lokalny;2002;1,28;zł
0;gazeta - dziennik lokalny;2003;1,36;zł
0;gazeta - dziennik lokalny;2004;1,37;zł
0;gazeta - dziennik lokalny;2005;1,38;zł
0;gazeta - dziennik lokalny;2006;1,31;zł
0;gazeta - dziennik lokalny;2007;1,32;zł
0;gazeta - dziennik lokalny;2008;1,39;zł
0;gazeta - dziennik lokalny;2009;1,55;zł
0;gazeta - dziennik lokalny;2010;1,64;zł
0;gazeta - dziennik lokalny;2011;1,75;zł
0;gazeta - dziennik lokalny;2012;1,83;zł
0;gazeta - dziennik lokalny;2013;1,96;zł
0;gazeta - dziennik lokalny;2014;2,12;zł
0;gazeta - dziennik lokalny;2015;2,25;zł
1100000000;bilet do kina;1999;9,35;zł
1100000000;bilet do kina;2000;10,66;zł
1100000000;bilet do kina;2001;11,25;zł
1100000000;bilet do kina;2002;11,54;zł
1100000000;bilet do kina;2003;11,37;zł
1100000000;bilet do kina;2004;12,07;zł
1100000000;bilet do kina;2005;12,53;zł
1100000000;bilet do kina;2006;13,34;zł
1100000000;bilet do kina;2007;13,74;zł
1100000000;bilet do kina;2008;14,43;zł
1100000000;bilet do kina;2009;15;zł
1100000000;bilet do kina;2010;15,81;zł
1100000000;bilet do kina;2011;17,43;zł
1100000000;bilet do kina;2012;18,34;zł
1100000000;bilet do kina;2013;19,07;zł
1100000000;bilet do kina;2014;20,01;zł
1100000000;bilet do kina;2015;20,51;zł
1100000000;bilet do teatru;1999;15,95;zł
1100000000;bilet do teatru;2000;21,67;zł
1100000000;bilet do teatru;2001;22,5;zł
1100000000;bilet do teatru;2002;23,33;zł
1100000000;bilet do teatru;2003;25,17;zł
1100000000;bilet do teatru;2004;27,17;zł
1100000000;bilet do teatru;2005;28;zł
1100000000;bilet do teatru;2006;29;zł
1100000000;bilet do teatru;2007;29;zł
1100000000;bilet do teatru;2008;30,17;zł
1100000000;bilet do teatru;2009;35,62;zł
1100000000;bilet do teatru;2010;37,53;zł
1100000000;bilet do teatru;2011;38,29;zł
1100000000;bilet do teatru;2012;44,63;zł
1100000000;bilet do teatru;2013;49,13;zł
1100000000;bilet do teatru;2014;56,23;zł
1100000000;bilet do teatru;2015;57,69;zł
1100000000;gazeta - dziennik lokalny;1999;0,85;zł
1100000000;gazeta - dziennik lokalny;2000;1,02;zł
1100000000;gazeta - dziennik lokalny;2001;1,25;zł
1100000000;gazeta - dziennik lokalny;2002;1,29;zł
1100000000;gazeta - dziennik lokalny;2003;1,34;zł
1100000000;gazeta - dziennik lokalny;2004;1,34;zł
1100000000;gazeta - dziennik lokalny;2005;1,33;zł
1100000000;gazeta - dziennik lokalny;2006;1,34;zł
1100000000;gazeta - dziennik lokalny;2007;1,3;zł
1100000000;gazeta - dziennik lokalny;2008;1,35;zł
1100000000;gazeta - dziennik lokalny;2009;1,5;zł
1100000000;gazeta - dziennik lokalny;2010;1,57;zł
1100000000;gazeta - dziennik lokalny;2011;1,69;zł
1100000000;gazeta - dziennik lokalny;2012;1,78;zł
1100000000;gazeta - dziennik lokalny;2013;1,89;zł
1100000000;gazeta - dziennik lokalny;2014;2,07;zł
1100000000;gazeta - dziennik lokalny;2015;2,22;zł
1140000000;bilet do kina;1999;9,13;zł
1140000000;bilet do kina;2000;10,76;zł
1140000000;bilet do kina;2001;11,64;zł
1140000000;bilet do kina;2002;11,97;zł
1140000000;bilet do kina;2003;12,21;zł
1140000000;bilet do kina;2004;12,5;zł
1140000000;bilet do kina;2005;12,87;zł
1140000000;bilet do kina;2006;13,74;zł
1140000000;bilet do kina;2007;14,03;zł
1140000000;bilet do kina;2008;15,02;zł
1140000000;bilet do kina;2009;15,7;zł
1140000000;bilet do kina;2010;16,18;zł
1140000000;bilet do kina;2011;17,52;zł
1140000000;bilet do kina;2012;17,83;zł
1140000000;bilet do kina;2013;18,55;zł
1140000000;bilet do kina;2014;19,26;zł
1140000000;bilet do kina;2015;19,71;zł
1140000000;bilet do teatru;1999;15,55;zł
1140000000;bilet do teatru;2000;20;zł
1140000000;bilet do teatru;2001;21,81;zł
1140000000;bilet do teatru;2002;22,85;zł
1140000000;bilet do teatru;2003;23,61;zł
1140000000;bilet do teatru;2004;24,72;zł
1140000000;bilet do teatru;2005;24,93;zł
1140000000;bilet do teatru;2006;29,67;zł
1140000000;bilet do teatru;2007;33,28;zł
1140000000;bilet do teatru;2008;36,8;zł
1140000000;bilet do teatru;2009;39,79;zł
1140000000;bilet do teatru;2010;42,08;zł
1140000000;bilet do teatru;2011;49,74;zł
1140000000;bilet do teatru;2012;57,41;zł
1140000000;bilet do teatru;2013;61,98;zł
1140000000;bilet do teatru;2014;64,33;zł
