Kod;Rodzaje towarów i usług;Rok;Wartosc;Jednostka miary
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;1999;1,28;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2000;1,52;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2001;1,7;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2002;1,97;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2003;2,09;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2004;2,19;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2005;2,27;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2006;2,33;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2007;2,41;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2008;2,59;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2009;2,83;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2010;2,99;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2011;3,19;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2012;3,38;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2013;3,55;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2014;3,64;zł
0;zimna woda z miejskiej sieci wodociągowej - za 1m3;2015;3,73;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;1999;0,27;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2000;0,29;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2001;0,36;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2002;0,38;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2003;0,4;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2004;0,41;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2005;0,42;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2006;0,44;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2007;0,45;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2008;0,5;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2009;0,56;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2010;0,59;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2011;0,63;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2012;0,66;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2013;0,67;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2014;0,64;zł
0;energia elektryczna dla gospodarstw domowych (taryfa G-11) - za 1kWh;2015;0,65;zł
0;ciepła woda - za 1m3;1999;0;zł
0;ciepła woda - za 1m3;2000;0;zł
0;ciepła woda - za 1m3;2001;0;zł
0;ciepła woda - za 1m3;2002;0;zł
0;ciepła woda - za 1m3;2003;0;zł
0;ciepła woda - za 1m3;2004;0;zł
0;ciepła woda - za 1m3;2005;0;zł
0;ciepła woda - za 1m3;2006;0;zł
0;ciepła woda - za 1m3;2007;0;zł
0;ciepła woda - za 1m3;2008;15,27;zł
0;ciepła woda - za 1m3;2009;16,57;zł
0;ciepła woda - za 1m3;2010;17,61;zł
0;ciepła woda - za 1m3;2011;18,37;zł
0;ciepła woda - za 1m3;2012;19,41;zł
0;ciepła woda - za 1m3;2013;20,51;zł
0;ciepła woda - za 1m3;2014;21,15;zł
0;ciepła woda - za 1m3;2015;21,54;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;1999;2,47;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2000;2,52;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2001;2,59;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2002;2,89;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2003;2,97;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2004;3,05;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2005;3,07;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2006;3,17;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2007;3,14;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2008;3,16;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2009;3,34;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2010;3,52;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2011;3,7;zł
0;centralne ogrzewanie lokali mieszkalnych - za 1m2;2012;3,81;zł
