Kod;Rodzaje towarów i usług;Rok;Wartosc;Jednostka miary
0;wizyta u lekarza specjalisty;1999;39,74;zł
0;wizyta u lekarza specjalisty;2000;43,5;zł
0;wizyta u lekarza specjalisty;2001;46,3;zł
0;wizyta u lekarza specjalisty;2002;47,57;zł
0;wizyta u lekarza specjalisty;2003;48,62;zł
0;wizyta u lekarza specjalisty;2004;49,76;zł
0;wizyta u lekarza specjalisty;2005;50,79;zł
0;wizyta u lekarza specjalisty;2006;52,1;zł
0;wizyta u lekarza specjalisty;2007;54,65;zł
0;wizyta u lekarza specjalisty;2008;59,45;zł
0;wizyta u lekarza specjalisty;2009;63,74;zł
0;wizyta u lekarza specjalisty;2010;68,12;zł
0;wizyta u lekarza specjalisty;2011;72,81;zł
0;wizyta u lekarza specjalisty;2012;78,19;zł
0;wizyta u lekarza specjalisty;2013;82,24;zł
0;wizyta u lekarza specjalisty;2014;86,51;zł
0;wizyta u lekarza specjalisty;2015;89,19;zł
1100000000;wizyta u lekarza specjalisty;1999;39,13;zł
1100000000;wizyta u lekarza specjalisty;2000;42,56;zł
1100000000;wizyta u lekarza specjalisty;2001;45,71;zł
1100000000;wizyta u lekarza specjalisty;2002;46,9;zł
1100000000;wizyta u lekarza specjalisty;2003;48,02;zł
1100000000;wizyta u lekarza specjalisty;2004;49,25;zł
1100000000;wizyta u lekarza specjalisty;2005;50,42;zł
1100000000;wizyta u lekarza specjalisty;2006;51,11;zł
1100000000;wizyta u lekarza specjalisty;2007;54,74;zł
1100000000;wizyta u lekarza specjalisty;2008;58,73;zł
1100000000;wizyta u lekarza specjalisty;2009;63,16;zł
1100000000;wizyta u lekarza specjalisty;2010;69,11;zł
1100000000;wizyta u lekarza specjalisty;2011;72,41;zł
1100000000;wizyta u lekarza specjalisty;2012;75,33;zł
1100000000;wizyta u lekarza specjalisty;2013;77,74;zł
1100000000;wizyta u lekarza specjalisty;2014;80,95;zł
1100000000;wizyta u lekarza specjalisty;2015;83,87;zł
1140000000;wizyta u lekarza specjalisty;1999;41,9;zł
1140000000;wizyta u lekarza specjalisty;2000;47,69;zł
1140000000;wizyta u lekarza specjalisty;2001;50,45;zł
1140000000;wizyta u lekarza specjalisty;2002;51,57;zł
1140000000;wizyta u lekarza specjalisty;2003;53,19;zł
1140000000;wizyta u lekarza specjalisty;2004;54,24;zł
1140000000;wizyta u lekarza specjalisty;2005;54,65;zł
1140000000;wizyta u lekarza specjalisty;2006;58,42;zł
1140000000;wizyta u lekarza specjalisty;2007;60,63;zł
1140000000;wizyta u lekarza specjalisty;2008;66,43;zł
1140000000;wizyta u lekarza specjalisty;2009;69,52;zł
1140000000;wizyta u lekarza specjalisty;2010;73,67;zł
1140000000;wizyta u lekarza specjalisty;2011;79,15;zł
1140000000;wizyta u lekarza specjalisty;2012;87,95;zł
1140000000;wizyta u lekarza specjalisty;2013;93,47;zł
1140000000;wizyta u lekarza specjalisty;2014;97;zł
1140000000;wizyta u lekarza specjalisty;2015;98,05;zł
2120000000;wizyta u lekarza specjalisty;1999;36,7;zł
2120000000;wizyta u lekarza specjalisty;2000;42,11;zł
2120000000;wizyta u lekarza specjalisty;2001;43,09;zł
2120000000;wizyta u lekarza specjalisty;2002;44,2;zł
2120000000;wizyta u lekarza specjalisty;2003;45,88;zł
2120000000;wizyta u lekarza specjalisty;2004;47,22;zł
2120000000;wizyta u lekarza specjalisty;2005;48,45;zł
2120000000;wizyta u lekarza specjalisty;2006;50,96;zł
2120000000;wizyta u lekarza specjalisty;2007;54,1;zł
2120000000;wizyta u lekarza specjalisty;2008;56,71;zł
2120000000;wizyta u lekarza specjalisty;2009;59,31;zł
2120000000;wizyta u lekarza specjalisty;2010;61,29;zł
2120000000;wizyta u lekarza specjalisty;2011;65,04;zł
2120000000;wizyta u lekarza specjalisty;2012;71,61;zł
2120000000;wizyta u lekarza specjalisty;2013;73,57;zł
2120000000;wizyta u lekarza specjalisty;2014;78,59;zł
2120000000;wizyta u lekarza specjalisty;2015;80,99;zł
2240000000;wizyta u lekarza specjalisty;1999;40,59;zł
2240000000;wizyta u lekarza specjalisty;2000;46,28;zł
2240000000;wizyta u lekarza specjalisty;2001;49,33;zł
2240000000;wizyta u lekarza specjalisty;2002;48,96;zł
2240000000;wizyta u lekarza specjalisty;2003;48,45;zł
2240000000;wizyta u lekarza specjalisty;2004;50,16;zł
2240000000;wizyta u lekarza specjalisty;2005;51,19;zł
2240000000;wizyta u lekarza specjalisty;2006;51,39;zł
2240000000;wizyta u lekarza specjalisty;2007;54,89;zł
2240000000;wizyta u lekarza specjalisty;2008;59,78;zł
2240000000;wizyta u lekarza specjalisty;2009;62,5;zł
2240000000;wizyta u lekarza specjalisty;2010;66,31;zł
2240000000;wizyta u lekarza specjalisty;2011;70,94;zł
2240000000;wizyta u lekarza specjalisty;2012;77,39;zł
2240000000;wizyta u lekarza specjalisty;2013;82,22;zł
2240000000;wizyta u lekarza specjalisty;2014;88,4;zł
2240000000;wizyta u lekarza specjalisty;2015;93,44;zł
3060000000;wizyta u lekarza specjalisty;1999;39,97;zł
3060000000;wizyta u lekarza specjalisty;2000;44,15;zł
3060000000;wizyta u lekarza specjalisty;2001;46,33;zł
3060000000;wizyta u lekarza specjalisty;2002;48,25;zł
3060000000;wizyta u lekarza specjalisty;2003;48,31;zł
3060000000;wizyta u lekarza specjalisty;2004;48,91;zł
3060000000;wizyta u lekarza specjalisty;2005;49,48;zł
3060000000;wizyta u lekarza specjalisty;2006;49,84;zł
3060000000;wizyta u lekarza specjalisty;2007;52,18;zł
3060000000;wizyta u lekarza specjalisty;2008;55,29;zł
3060000000;wizyta u lekarza specjalisty;2009;59,86;zł
3060000000;wizyta u lekarza specjalisty;2010;62,89;zł
3060000000;wizyta u lekarza specjalisty;2011;64,62;zł
3060000000;wizyta u lekarza specjalisty;2012;70,32;zł
3060000000;wizyta u lekarza specjalisty;2013;74,05;zł
3060000000;wizyta u lekarza specjalisty;2014;75,83;zł
3060000000;wizyta u lekarza specjalisty;2015;76,28;zł
3180000000;wizyta u lekarza specjalisty;1999;37,11;zł
3180000000;wizyta u lekarza specjalisty;2000;39,86;zł
3180000000;wizyta u lekarza specjalisty;2001;44,28;zł
3180000000;wizyta u lekarza specjalisty;2002;45,81;zł
3180000000;wizyta u lekarza specjalisty;2003;46,74;zł
3180000000;wizyta u lekarza specjalisty;2004;47,55;zł
3180000000;wizyta u lekarza specjalisty;2005;47,59;zł
3180000000;wizyta u lekarza specjalisty;2006;49,09;zł
3180000000;wizyta u lekarza specjalisty;2007;50,47;zł
3180000000;wizyta u lekarza specjalisty;2008;52,67;zł
3180000000;wizyta u lekarza specjalisty;2009;55,35;zł
3180000000;wizyta u lekarza specjalisty;2010;56,91;zł
3180000000;wizyta u lekarza specjalisty;2011;63,54;zł
3180000000;wizyta u lekarza specjalisty;2012;70,97;zł
3180000000;wizyta u lekarza specjalisty;2013;77,15;zł
3180000000;wizyta u lekarza specjalisty;2014;77,5;zł
3180000000;wizyta u lekarza specjalisty;2015;79,17;zł
3200000000;wizyta u lekarza specjalisty;1999;38,49;zł
3200000000;wizyta u lekarza specjalisty;2000;40,82;zł
3200000000;wizyta u lekarza specjalisty;2001;44,01;zł
3200000000;wizyta u lekarza specjalisty;2002;45,42;zł
3200000000;wizyta u lekarza specjalisty;2003;47,01;zł
3200000000;wizyta u lekarza specjalisty;2004;49,89;zł
3200000000;wizyta u lekarza specjalisty;2005;51,81;zł
3200000000;wizyta u lekarza specjalisty;2006;52;zł
3200000000;wizyta u lekarza specjalisty;2007;54,25;zł
3200000000;wizyta u lekarza specjalisty;2008;57,56;zł
3200000000;wizyta u lekarza specjalisty;2009;63,58;zł
3200000000;wizyta u lekarza specjalisty;2010;67,63;zł
3200000000;wizyta u lekarza specjalisty;2011;70,21;zł
3200000000;wizyta u lekarza specjalisty;2012;72;zł
3200000000;wizyta u lekarza specjalisty;2013;74,92;zł
3200000000;wizyta u lekarza specjalisty;2014;81,92;zł
3200000000;wizyta u lekarza specjalisty;2015;83,96;zł
3260000000;wizyta u lekarza specjalisty;1999;38,63;zł
3260000000;wizyta u lekarza specjalisty;2000;43,78;zł
3260000000;wizyta u lekarza specjalisty;2001;47,53;zł
3260000000;wizyta u lekarza specjalisty;2002;49,71;zł
3260000000;wizyta u lekarza specjalisty;2003;49,52;zł
3260000000;wizyta u lekarza specjalisty;2004;48,62;zł
3260000000;wizyta u lekarza specjalisty;2005;54,25;zł
3260000000;wizyta u lekarza specjalisty;2006;53,61;zł
3260000000;wizyta u lekarza specjalisty;2007;56,81;zł
3260000000;wizyta u lekarza specjalisty;2008;61,94;zł
3260000000;wizyta u lekarza specjalisty;2009;65;zł
3260000000;wizyta u lekarza specjalisty;2010;65,14;zł
3260000000;wizyta u lekarza specjalisty;2011;73,2;zł
3260000000;wizyta u lekarza specjalisty;2012;80,28;zł
3260000000;wizyta u lekarza specjalisty;2013;86,67;zł
3260000000;wizyta u lekarza specjalisty;2014;90;zł
3260000000;wizyta u lekarza specjalisty;2015;89,17;zł
4080000000;wizyta u lekarza specjalisty;1999;41,83;zł
4080000000;wizyta u lekarza specjalisty;2000;41,85;zł
4080000000;wizyta u lekarza specjalisty;2001;44,91;zł
4080000000;wizyta u lekarza specjalisty;2002;46,39;zł
4080000000;wizyta u lekarza specjalisty;2003;47,45;zł
4080000000;wizyta u lekarza specjalisty;2004;48,13;zł
4080000000;wizyta u lekarza specjalisty;2005;50,79;zł
4080000000;wizyta u lekarza specjalisty;2006;51,85;zł
4080000000;wizyta u lekarza specjalisty;2007;54,77;zł
4080000000;wizyta u lekarza specjalisty;2008;66,57;zł
4080000000;wizyta u lekarza specjalisty;2009;65,73;zł
4080000000;wizyta u lekarza specjalisty;2010;68,16;zł
4080000000;wizyta u lekarza specjalisty;2011;72,22;zł
4080000000;wizyta u lekarza specjalisty;2012;78,34;zł
4080000000;wizyta u lekarza specjalisty;2013;79,17;zł
4080000000;wizyta u lekarza specjalisty;2014;82,13;zł
