Kod;Zakres przedmiotowy;Rok;Wartosc;Jednostka miary
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;105,2;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103,6;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;106,3;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;107,2;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;103,9;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;102,5;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;103,6;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;101,6;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;101,5;%
0;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,3;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;105,3;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103,6;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;106,8;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;106,9;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;105,5;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;101,8;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;104,4;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,2;%
