Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2004;563,67;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2005;554,91;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2006;539,94;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2007;550,33;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2008;543,87;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2009;541,18;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2010;529,55;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2011;505,77;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2012;494,67;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2013;469,92;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2014;453,6;osoba
0;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2015;433,56;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2004;244,13;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2005;251,81;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2006;251,77;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2007;258,25;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2008;304,16;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2009;301,38;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2010;299,15;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2011;283,85;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2012;277,19;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2013;297,55;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2014;318,63;osoba
0;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2015;312,85;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2004;602,77;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2005;562,89;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2006;550,21;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2007;552,75;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2008;650,39;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2009;636,89;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2010;645,45;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2011;530,5;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2012;529,06;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2013;544,31;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2014;511,78;osoba
1100000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2015;509,52;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2004;196,73;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2005;200,14;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2006;217,93;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2007;220,96;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2008;216,16;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2009;225,92;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2010;236,79;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2011;239,59;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2012;245,16;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2013;242,57;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2014;219,34;osoba
1100000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2015;224,5;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2004;355,07;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2005;352,18;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2006;351,77;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2007;347,33;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2008;307,16;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2009;320,12;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2010;288,84;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2011;285,66;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2012;295,49;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2013;292,97;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2014;297,22;osoba
1140000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2015;290,68;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2004;409,55;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2005;430,61;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2006;424,98;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2007;439,81;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2008;500,64;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2009;495,21;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2010;540,57;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2011;555,08;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2012;526,75;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2013;611,88;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2014;601,36;osoba
1140000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2015;575,14;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2004;584,06;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2005;629,2;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2006;635,93;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2007;645,23;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2008;634,34;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2009;543,1;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2010;577,88;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2011;551,91;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2012;543,7;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2013;500,31;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2014;494,69;osoba
2120000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2015;438,86;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2004;223,65;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2005;236,37;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2006;232,58;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2007;246,84;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2008;311,22;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2009;317,06;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2010;306,34;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2011;303,69;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2012;302,13;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2013;270,08;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2014;344,95;osoba
2120000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2015;331,47;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2004;544,64;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2005;468,81;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2006;455,26;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2007;484,1;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2008;527,92;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2009;533,42;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2010;526,46;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2011;529,21;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2012;503,97;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2013;564,56;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2014;459,56;osoba
2240000000;ludność na 1 miejsce w teatrach i instytucjach muzycznych;2015;456,77;osoba
2240000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2004;228,82;osoba
2240000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2005;265,97;osoba
2240000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2006;256,72;osoba
2240000000;widzowie i słuchacze w teatrach i instytucjach muzycznych na 1000 ludności;2007;276,09;osoba
