Kod;Rodzaje dochodów;Rok;Wartosc;Jednostka miary
0;ogółem;1999;560,43;zł
0;ogółem;2000;610,51;zł
0;ogółem;2001;644,48;zł
0;ogółem;2002;664,21;zł
0;ogółem;2003;711,96;zł
0;ogółem;2004;735,4;zł
0;ogółem;2005;761,46;zł
0;ogółem;2006;834,68;zł
0;ogółem;2007;928,87;zł
0;ogółem;2008;1045,52;zł
0;ogółem;2009;1114,49;zł
0;ogółem;2010;1192,82;zł
0;ogółem;2011;1226,95;zł
0;ogółem;2012;1278,43;zł
0;ogółem;2013;1299,07;zł
0;ogółem;2014;1340,44;zł
0;ogółem;2015;1386,16;zł
0;z pracy najemnej;1999;269,03;zł
0;z pracy najemnej;2000;290,99;zł
0;z pracy najemnej;2001;300,87;zł
0;z pracy najemnej;2002;303,13;zł
0;z pracy najemnej;2003;321,07;zł
0;z pracy najemnej;2004;334,85;zł
0;z pracy najemnej;2005;350,39;zł
0;z pracy najemnej;2006;396,78;zł
0;z pracy najemnej;2007;467,12;zł
0;z pracy najemnej;2008;560,75;zł
0;z pracy najemnej;2009;593,73;zł
0;z pracy najemnej;2010;636,56;zł
0;z pracy najemnej;2011;667,03;zł
0;z pracy najemnej;2012;685,77;zł
0;z pracy najemnej;2013;690,31;zł
0;z pracy najemnej;2014;723,57;zł
0;z pracy najemnej;2015;757,89;zł
0;z gospodarstwa indywidualnego w rolnictwie;1999;33,5;zł
0;z gospodarstwa indywidualnego w rolnictwie;2000;32,75;zł
0;z gospodarstwa indywidualnego w rolnictwie;2001;32,23;zł
0;z gospodarstwa indywidualnego w rolnictwie;2002;33,53;zł
0;z gospodarstwa indywidualnego w rolnictwie;2003;26,91;zł
0;z gospodarstwa indywidualnego w rolnictwie;2004;30,06;zł
0;z gospodarstwa indywidualnego w rolnictwie;2005;34,1;zł
0;z gospodarstwa indywidualnego w rolnictwie;2006;38,47;zł
0;z gospodarstwa indywidualnego w rolnictwie;2007;45,16;zł
0;z gospodarstwa indywidualnego w rolnictwie;2008;43,18;zł
0;z gospodarstwa indywidualnego w rolnictwie;2009;43,07;zł
0;z gospodarstwa indywidualnego w rolnictwie;2010;50,32;zł
0;z gospodarstwa indywidualnego w rolnictwie;2011;44,61;zł
0;z gospodarstwa indywidualnego w rolnictwie;2012;52,84;zł
0;z gospodarstwa indywidualnego w rolnictwie;2013;57,24;zł
