Kod;Grupy towarów i usług;Rok;Wartosc;Jednostka miary
0;ogółem;1998;503,03;zł
0;ogółem;1999;549,76;zł
0;ogółem;2000;599,49;zł
0;ogółem;2001;609,72;zł
0;ogółem;2002;624,99;zł
0;ogółem;2003;677,81;zł
0;ogółem;2004;694,7;zł
0;ogółem;2005;690,3;zł
0;ogółem;2006;744,81;zł
0;ogółem;2007;809,95;zł
0;ogółem;2008;904,27;zł
0;ogółem;2009;956,68;zł
0;ogółem;2010;991,44;zł
0;ogółem;2011;1015,12;zł
0;ogółem;2012;1050,78;zł
0;ogółem;2013;1061,7;zł
0;ogółem;2014;1078,74;zł
0;ogółem;2015;1091,19;zł
0;towary i usługi konsumpcyjne;1998;483,56;zł
0;towary i usługi konsumpcyjne;1999;530,15;zł
0;towary i usługi konsumpcyjne;2000;577,62;zł
0;towary i usługi konsumpcyjne;2001;585,72;zł
0;towary i usługi konsumpcyjne;2002;599,2;zł
0;towary i usługi konsumpcyjne;2003;648,74;zł
0;towary i usługi konsumpcyjne;2004;665,63;zł
0;towary i usługi konsumpcyjne;2005;660,67;zł
0;towary i usługi konsumpcyjne;2006;712,56;zł
0;towary i usługi konsumpcyjne;2007;775,58;zł
0;towary i usługi konsumpcyjne;2008;865,32;zł
0;towary i usługi konsumpcyjne;2009;913,86;zł
0;towary i usługi konsumpcyjne;2010;945,8;zł
0;towary i usługi konsumpcyjne;2011;971,83;zł
0;towary i usługi konsumpcyjne;2012;1005,19;zł
0;towary i usługi konsumpcyjne;2013;1017,52;zł
0;towary i usługi konsumpcyjne;2014;1031,62;zł
0;towary i usługi konsumpcyjne;2015;1042,91;zł
0;żywność i napoje bezalkoholowe;1998;;zł
0;żywność i napoje bezalkoholowe;1999;171,41;zł
0;żywność i napoje bezalkoholowe;2000;184,77;zł
0;żywność i napoje bezalkoholowe;2001;188,74;zł
0;żywność i napoje bezalkoholowe;2002;184,61;zł
0;żywność i napoje bezalkoholowe;2003;188,22;zł
0;żywność i napoje bezalkoholowe;2004;195,08;zł
0;żywność i napoje bezalkoholowe;2005;194,1;zł
0;żywność i napoje bezalkoholowe;2006;202,11;zł
0;żywność i napoje bezalkoholowe;2007;215,77;zł
0;żywność i napoje bezalkoholowe;2008;231,14;zł
0;żywność i napoje bezalkoholowe;2009;240,08;zł
0;żywność i napoje bezalkoholowe;2010;246,14;zł
0;żywność i napoje bezalkoholowe;2011;254,13;zł
0;żywność i napoje bezalkoholowe;2012;263,85;zł
0;żywność i napoje bezalkoholowe;2013;264,36;zł
0;żywność i napoje bezalkoholowe;2014;263,34;zł
0;żywność i napoje bezalkoholowe;2015;262,32;zł
0;napoje alkoholowe i wyroby tytoniowe;1998;;zł
0;napoje alkoholowe i wyroby tytoniowe;1999;17,38;zł
0;napoje alkoholowe i wyroby tytoniowe;2000;17,98;zł
0;napoje alkoholowe i wyroby tytoniowe;2001;18,57;zł
0;napoje alkoholowe i wyroby tytoniowe;2002;18,67;zł
0;napoje alkoholowe i wyroby tytoniowe;2003;19,31;zł
0;napoje alkoholowe i wyroby tytoniowe;2004;19,01;zł
0;napoje alkoholowe i wyroby tytoniowe;2005;18,85;zł
