Kod;Wiek;Rok;Wartosc;Jednostka miary;Płeć
0;ogółem;2010;38529866;osoba;ogółem
0;ogółem;2011;38538447;osoba;ogółem
0;ogółem;2012;38533299;osoba;ogółem
0;ogółem;2013;38495659;osoba;ogółem
0;ogółem;2014;38478602;osoba;ogółem
0;ogółem;2015;38437239;osoba;ogółem
0;ogółem;2010;18653125;osoba;mężczyźni
0;ogółem;2011;18654577;osoba;mężczyźni
0;ogółem;2012;18649334;osoba;mężczyźni
0;ogółem;2013;18629535;osoba;mężczyźni
0;ogółem;2014;18619809;osoba;mężczyźni
0;ogółem;2015;18597991;osoba;mężczyźni
0;ogółem;2010;19876741;osoba;kobiety
0;ogółem;2011;19883870;osoba;kobiety
0;ogółem;2012;19883965;osoba;kobiety
0;ogółem;2013;19866124;osoba;kobiety
0;ogółem;2014;19858793;osoba;kobiety
0;ogółem;2015;19839248;osoba;kobiety
0;0-4;2010;2066623;osoba;ogółem
0;0-4;2011;2072768;osoba;ogółem
0;0-4;2012;2056255;osoba;ogółem
0;0-4;2013;1994096;osoba;ogółem
0;0-4;2014;1936077;osoba;ogółem
0;0-4;2015;1891675;osoba;ogółem
0;0-4;2010;1059807;osoba;mężczyźni
0;0-4;2011;1063457;osoba;mężczyźni
0;0-4;2012;1055522;osoba;mężczyźni
0;0-4;2013;1024298;osoba;mężczyźni
0;0-4;2014;995491;osoba;mężczyźni
0;0-4;2015;972450;osoba;mężczyźni
0;0-4;2010;1006816;osoba;kobiety
0;0-4;2011;1009311;osoba;kobiety
0;0-4;2012;1000733;osoba;kobiety
0;0-4;2013;969798;osoba;kobiety
0;0-4;2014;940586;osoba;kobiety
0;0-4;2015;919225;osoba;kobiety
0;05.wrz;2010;1803475;osoba;ogółem
0;05.wrz;2011;1819112;osoba;ogółem
0;05.wrz;2012;1867591;osoba;ogółem
0;05.wrz;2013;1946471;osoba;ogółem
0;05.wrz;2014;2021433;osoba;ogółem
0;05.wrz;2015;2065550;osoba;ogółem
0;05.wrz;2010;925178;osoba;mężczyźni
0;05.wrz;2011;933287;osoba;mężczyźni
0;05.wrz;2012;957982;osoba;mężczyźni
0;05.wrz;2013;998173;osoba;mężczyźni
0;05.wrz;2014;1035925;osoba;mężczyźni
0;05.wrz;2015;1059127;osoba;mężczyźni
0;05.wrz;2010;878297;osoba;kobiety
