Kod;Zakres przedmiotowy;Rok;Wartosc;Jednostka miary
0;mieszkania na 1000 ludności;2002;2,55;-
0;mieszkania na 1000 ludności;2003;4,26;-
0;mieszkania na 1000 ludności;2004;2,83;-
0;mieszkania na 1000 ludności;2005;2,99;-
0;mieszkania na 1000 ludności;2006;3,03;-
0;mieszkania na 1000 ludności;2007;3,51;-
0;mieszkania na 1000 ludności;2008;4,33;-
0;mieszkania na 1000 ludności;2009;4,19;-
0;mieszkania na 1000 ludności;2010;3,53;-
0;mieszkania na 1000 ludności;2011;3,4;-
0;mieszkania na 1000 ludności;2012;3,97;-
0;mieszkania na 1000 ludności;2013;3,77;-
0;mieszkania na 1000 ludności;2014;3,72;-
0;mieszkania na 1000 ludności;2015;3,84;-
0;mieszkania na 1000 zawartych małżeństw;2002;508;-
0;mieszkania na 1000 zawartych małżeństw;2003;832;-
0;mieszkania na 1000 zawartych małżeństw;2004;564;-
0;mieszkania na 1000 zawartych małżeństw;2005;551;-
0;mieszkania na 1000 zawartych małżeństw;2006;510;-
0;mieszkania na 1000 zawartych małżeństw;2007;538;-
0;mieszkania na 1000 zawartych małżeństw;2008;641;-
0;mieszkania na 1000 zawartych małżeństw;2009;638;-
0;mieszkania na 1000 zawartych małżeństw;2010;595;-
0;mieszkania na 1000 zawartych małżeństw;2011;634;-
0;mieszkania na 1000 zawartych małżeństw;2012;750;-
0;mieszkania na 1000 zawartych małżeństw;2013;805;-
0;mieszkania na 1000 zawartych małżeństw;2014;760;-
0;mieszkania na 1000 zawartych małżeństw;2015;782;-
0;mieszkania na 10 tys. ludności;2002;25,53;-
0;mieszkania na 10 tys. ludności;2003;42,59;-
0;mieszkania na 10 tys. ludności;2004;28,32;-
0;mieszkania na 10 tys. ludności;2005;29,89;-
0;mieszkania na 10 tys. ludności;2006;30,25;-
0;mieszkania na 10 tys. ludności;2007;35,08;-
0;mieszkania na 10 tys. ludności;2008;43,34;-
0;mieszkania na 10 tys. ludności;2009;41,94;-
0;mieszkania na 10 tys. ludności;2010;35,27;-
0;mieszkania na 10 tys. ludności;2011;33,99;-
0;mieszkania na 10 tys. ludności;2012;39,68;-
0;mieszkania na 10 tys. ludności;2013;37,7;-
0;mieszkania na 10 tys. ludności;2014;37,2;-
0;mieszkania na 10 tys. ludności;2015;38,41;-
0;izby w mieszkaniach na 1000 ludności;2002;10,84;-
0;izby w mieszkaniach na 1000 ludności;2003;20,56;-
0;izby w mieszkaniach na 1000 ludności;2004;12,64;-
0;izby w mieszkaniach na 1000 ludności;2005;13,04;-
0;izby w mieszkaniach na 1000 ludności;2006;12,81;-
0;izby w mieszkaniach na 1000 ludności;2007;15,25;-
0;izby w mieszkaniach na 1000 ludności;2008;18,51;-
0;izby w mieszkaniach na 1000 ludności;2009;17,19;-
0;izby w mieszkaniach na 1000 ludności;2010;15,17;-
0;izby w mieszkaniach na 1000 ludności;2011;14,79;-
0;izby w mieszkaniach na 1000 ludności;2012;16,61;-
0;izby w mieszkaniach na 1000 ludności;2013;16,09;-
0;izby w mieszkaniach na 1000 ludności;2014;15,46;-
0;izby w mieszkaniach na 1000 ludności;2015;15,88;-
0;przeciętna powierzchnia użytkowa 1 mieszkania;2002;99,3;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2003;115,8;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2004;107,5;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2005;105,3;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2006;101,6;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2007;105,6;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2008;104;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2009;99,6;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2010;106,1;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2011;107,1;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2012;102,4;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2013;104,6;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2014;100,9;m2
0;przeciętna powierzchnia użytkowa 1 mieszkania;2015;99,8;m2
1100000000;mieszkania na 1000 ludności;2002;1,84;-
1100000000;mieszkania na 1000 ludności;2003;3,31;-
1100000000;mieszkania na 1000 ludności;2004;2,12;-
1100000000;mieszkania na 1000 ludności;2005;1,77;-
1100000000;mieszkania na 1000 ludności;2006;1,89;-
1100000000;mieszkania na 1000 ludności;2007;2,3;-
1100000000;mieszkania na 1000 ludności;2008;2,89;-
1100000000;mieszkania na 1000 ludności;2009;2,49;-
1100000000;mieszkania na 1000 ludności;2010;2,73;-
1100000000;mieszkania na 1000 ludności;2011;2,37;-
1100000000;mieszkania na 1000 ludności;2012;3,17;-
1100000000;mieszkania na 1000 ludności;2013;2,39;-
1100000000;mieszkania na 1000 ludności;2014;2,59;-
1100000000;mieszkania na 1000 ludności;2015;2,86;-
1100000000;mieszkania na 1000 zawartych małżeństw;2002;373;-
1100000000;mieszkania na 1000 zawartych małżeństw;2003;649;-
1100000000;mieszkania na 1000 zawartych małżeństw;2004;422;-
1100000000;mieszkania na 1000 zawartych małżeństw;2005;342;-
1100000000;mieszkania na 1000 zawartych małżeństw;2006;336;-
1100000000;mieszkania na 1000 zawartych małżeństw;2007;383;-
1100000000;mieszkania na 1000 zawartych małżeństw;2008;453;-
1100000000;mieszkania na 1000 zawartych małżeństw;2009;401;-
1100000000;mieszkania na 1000 zawartych małżeństw;2010;479;-
1100000000;mieszkania na 1000 zawartych małżeństw;2011;476;-
1100000000;mieszkania na 1000 zawartych małżeństw;2012;636;-
1100000000;mieszkania na 1000 zawartych małżeństw;2013;550;-
1100000000;mieszkania na 1000 zawartych małżeństw;2014;570;-
1100000000;mieszkania na 1000 zawartych małżeństw;2015;624;-
1100000000;mieszkania na 10 tys. ludności;2002;18,43;-
