Kod;Wskaźniki;Rok;Wartosc;Jednostka miary
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;33;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;34;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;33;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;34;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;35;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;35;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;35;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;36;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;36;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;37;osoba
0;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;38;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;39;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;38;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;40;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;41;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;41;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;42;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;43;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;44;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;44;osoba
1100000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;45;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;45;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;43;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;45;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;46;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;46;osoba
