Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
0;liczba ludności na łóżko w szpitalach ogólnych;2002;203;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2003;205;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2004;208;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2005;213;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2006;216;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2007;218;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2008;208;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2009;209;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2010;213;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2011;213;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2012;204;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2013;205;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2014;205;osoba
0;liczba ludności na łóżko w szpitalach ogólnych;2015;206;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2002;180;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2003;180;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2004;182;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2005;188;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2006;195;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2007;194;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2008;186;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2009;187;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2010;188;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2011;189;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2012;192;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2013;187;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2014;188;osoba
1100000000;liczba ludności na łóżko w szpitalach ogólnych;2015;192;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2002;213;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2003;213;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2004;219;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2005;219;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2006;224;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2007;226;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2008;215;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2009;217;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2010;218;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2011;217;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2012;202;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2013;200;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2014;204;osoba
1140000000;liczba ludności na łóżko w szpitalach ogólnych;2015;206;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2002;221;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2003;228;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2004;230;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2005;235;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2006;239;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2007;241;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2008;226;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2009;229;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2010;234;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2011;233;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2012;224;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2013;226;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2014;225;osoba
2120000000;liczba ludności na łóżko w szpitalach ogólnych;2015;227;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2002;169;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2003;171;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2004;172;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2005;175;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2006;175;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2007;179;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2008;172;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2009;174;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2010;178;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2011;181;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2012;178;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2013;178;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2014;178;osoba
2240000000;liczba ludności na łóżko w szpitalach ogólnych;2015;179;osoba
3060000000;liczba ludności na łóżko w szpitalach ogólnych;2002;187;osoba
3060000000;liczba ludności na łóżko w szpitalach ogólnych;2003;186;osoba
3060000000;liczba ludności na łóżko w szpitalach ogólnych;2004;190;osoba
3060000000;liczba ludności na łóżko w szpitalach ogólnych;2005;197;osoba
3060000000;liczba ludności na łóżko w szpitalach ogólnych;2006;197;osoba
3060000000;liczba ludności na łóżko w szpitalach ogólnych;2007;197;osoba
