Kod;Rodzaje chorób i zatruć;Rok;Wartosc;Jednostka miary
0;tężec;2005;15;osoba
0;tężec;2006;22;osoba
0;tężec;2007;19;osoba
0;tężec;2008;14;osoba
0;tężec;2009;19;osoba
0;tężec;2010;16;osoba
0;tężec;2011;14;osoba
0;tężec;2012;19;osoba
0;tężec;2013;14;osoba
0;tężec;2014;13;osoba
0;tężec;2015;12;osoba
0;krztusiec;2005;1925;osoba
0;krztusiec;2006;1520;osoba
0;krztusiec;2007;1987;osoba
0;krztusiec;2008;2164;osoba
0;krztusiec;2009;2390;osoba
0;krztusiec;2010;1266;osoba
0;krztusiec;2011;1669;osoba
0;krztusiec;2012;4684;osoba
0;krztusiec;2013;2183;osoba
0;krztusiec;2014;2102;osoba
0;krztusiec;2015;4956;osoba
0;odra;2005;13;osoba
0;odra;2006;120;osoba
0;odra;2007;40;osoba
0;odra;2008;101;osoba
0;odra;2009;115;osoba
0;odra;2010;13;osoba
0;odra;2011;38;osoba
0;odra;2012;71;osoba
0;odra;2013;84;osoba
0;odra;2014;110;osoba
0;odra;2015;48;osoba
0;wirusowe zapalenie wątroby typu B;2005;1727;osoba
0;wirusowe zapalenie wątroby typu B;2006;1693;osoba
0;wirusowe zapalenie wątroby typu B;2007;1454;osoba
0;wirusowe zapalenie wątroby typu B;2008;1337;osoba
0;wirusowe zapalenie wątroby typu B;2009;1475;osoba
0;wirusowe zapalenie wątroby typu B;2010;1634;osoba
0;wirusowe zapalenie wątroby typu B;2011;1583;osoba
0;wirusowe zapalenie wątroby typu B;2012;1583;osoba
0;wirusowe zapalenie wątroby typu B;2013;1540;osoba
0;wirusowe zapalenie wątroby typu B;2014;2763;osoba
0;wirusowe zapalenie wątroby typu B;2015;3518;osoba
0;wirusowe zapalenie wątroby typu C;2005;2997;osoba
0;wirusowe zapalenie wątroby typu C;2006;2949;osoba
0;wirusowe zapalenie wątroby typu C;2007;2753;osoba
0;wirusowe zapalenie wątroby typu C;2008;2353;osoba
0;wirusowe zapalenie wątroby typu C;2009;1891;osoba
0;wirusowe zapalenie wątroby typu C;2010;2174;osoba
0;wirusowe zapalenie wątroby typu C;2011;2188;osoba
0;wirusowe zapalenie wątroby typu C;2012;2265;osoba
0;wirusowe zapalenie wątroby typu C;2013;2641;osoba
0;wirusowe zapalenie wątroby typu C;2014;3550;osoba
0;wirusowe zapalenie wątroby typu C;2015;4285;osoba
0;wirusowe zapalenie wątroby typu A;2005;54;osoba
0;wirusowe zapalenie wątroby typu A;2006;109;osoba
0;wirusowe zapalenie wątroby typu A;2007;36;osoba
0;wirusowe zapalenie wątroby typu A;2008;209;osoba
0;wirusowe zapalenie wątroby typu A;2009;652;osoba
0;wirusowe zapalenie wątroby typu A;2010;155;osoba
0;wirusowe zapalenie wątroby typu A;2011;65;osoba
0;wirusowe zapalenie wątroby typu A;2012;71;osoba
0;wirusowe zapalenie wątroby typu A;2013;48;osoba
0;wirusowe zapalenie wątroby typu A;2014;76;osoba
0;wirusowe zapalenie wątroby typu A;2015;49;osoba
0;różyczka;2005;7946;osoba
0;różyczka;2006;20668;osoba
0;różyczka;2007;22891;osoba
0;różyczka;2008;13146;osoba
0;różyczka;2009;7587;osoba
0;różyczka;2010;4197;osoba
0;różyczka;2011;4290;osoba
0;różyczka;2012;6263;osoba
0;różyczka;2013;38548;osoba
0;różyczka;2014;5891;osoba
0;różyczka;2015;2026;osoba
0;AIDS;2005;139;osoba
0;AIDS;2006;156;osoba
0;AIDS;2007;128;osoba
0;AIDS;2008;150;osoba
0;AIDS;2009;99;osoba
0;AIDS;2010;161;osoba
0;AIDS;2011;162;osoba
0;AIDS;2012;145;osoba
0;AIDS;2013;160;osoba
0;AIDS;2014;125;osoba
0;AIDS;2015;122;osoba
0;salmonellozy;2005;16006;osoba
0;salmonellozy;2006;13362;osoba
0;salmonellozy;2007;11704;osoba
0;salmonellozy;2008;9609;osoba
0;salmonellozy;2009;8964;osoba
0;salmonellozy;2010;9732;osoba
0;salmonellozy;2011;8813;osoba
0;salmonellozy;2012;8444;osoba
0;salmonellozy;2013;7577;osoba
0;salmonellozy;2014;8392;osoba
0;salmonellozy;2015;8652;osoba
0;czerwonka bakteryjna;2005;80;osoba
0;czerwonka bakteryjna;2006;35;osoba
0;czerwonka bakteryjna;2007;64;osoba
0;czerwonka bakteryjna;2008;33;osoba
0;czerwonka bakteryjna;2009;30;osoba
0;czerwonka bakteryjna;2010;30;osoba
0;czerwonka bakteryjna;2011;17;osoba
0;czerwonka bakteryjna;2012;13;osoba
0;czerwonka bakteryjna;2013;19;osoba
0;czerwonka bakteryjna;2014;44;osoba
0;czerwonka bakteryjna;2015;18;osoba
0;inne bakteryjne zatrucia pokarmowe;2005;4261;osoba
0;inne bakteryjne zatrucia pokarmowe;2006;3947;osoba
0;inne bakteryjne zatrucia pokarmowe;2007;3681;osoba
0;inne bakteryjne zatrucia pokarmowe;2008;2740;osoba
0;inne bakteryjne zatrucia pokarmowe;2009;1970;osoba
0;inne bakteryjne zatrucia pokarmowe;2010;1915;osoba
0;inne bakteryjne zatrucia pokarmowe;2011;2195;osoba
0;inne bakteryjne zatrucia pokarmowe;2012;1787;osoba
0;inne bakteryjne zatrucia pokarmowe;2013;1643;osoba
0;inne bakteryjne zatrucia pokarmowe;2014;1534;osoba
0;inne bakteryjne zatrucia pokarmowe;2015;1439;osoba
0;biegunki u dzieci do lat 2;2005;17306;osoba
0;biegunki u dzieci do lat 2;2006;21354;osoba
0;biegunki u dzieci do lat 2;2007;22711;osoba
0;biegunki u dzieci do lat 2;2008;29231;osoba
0;biegunki u dzieci do lat 2;2009;31228;osoba
0;biegunki u dzieci do lat 2;2010;30053;osoba
0;biegunki u dzieci do lat 2;2011;36478;osoba
0;biegunki u dzieci do lat 2;2012;34386;osoba
0;biegunki u dzieci do lat 2;2013;38101;osoba
0;biegunki u dzieci do lat 2;2014;41572;osoba
0;biegunki u dzieci do lat 2;2015;43502;osoba
0;szkarlatyna (płonnica);2005;9911;osoba
0;szkarlatyna (płonnica);2006;10649;osoba
0;szkarlatyna (płonnica);2007;10740;osoba
0;szkarlatyna (płonnica);2008;11179;osoba
0;szkarlatyna (płonnica);2009;13968;osoba
0;szkarlatyna (płonnica);2010;13940;osoba
0;szkarlatyna (płonnica);2011;18267;osoba
0;szkarlatyna (płonnica);2012;25421;osoba
0;szkarlatyna (płonnica);2013;25115;osoba
0;szkarlatyna (płonnica);2014;22885;osoba
0;szkarlatyna (płonnica);2015;26782;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2005;998;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2006;989;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2007;1081;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2008;987;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2009;865;osoba
