Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
0;ogółem;2002;1404229;-
0;ogółem;2003;1466643;-
0;ogółem;2004;1461217;-
0;ogółem;2005;1379962;-
0;ogółem;2006;1287918;-
0;ogółem;2007;1152993;-
0;ogółem;2008;1082057;-
0;ogółem;2009;1129577;-
0;ogółem;2010;1138523;-
0;ogółem;2011;1159554;-
0;ogółem;2012;1119803;-
0;ogółem;2013;1061239;-
0;ogółem;2014;867855;-
0;ogółem;2015;799779;-
0;ogółem, Polska = 100;2002;;%
0;ogółem, Polska = 100;2003;;%
0;ogółem, Polska = 100;2004;;%
0;ogółem, Polska = 100;2005;100;%
0;ogółem, Polska = 100;2006;100;%
0;ogółem, Polska = 100;2007;100;%
0;ogółem, Polska = 100;2008;100;%
0;ogółem, Polska = 100;2009;100;%
0;ogółem, Polska = 100;2010;100;%
0;ogółem, Polska = 100;2011;100;%
0;ogółem, Polska = 100;2012;100;%
0;ogółem, Polska = 100;2013;100;%
0;ogółem, Polska = 100;2014;100;%
0;ogółem, Polska = 100;2015;100;%
0;o charakterze kryminalnym;2002;;-
0;o charakterze kryminalnym;2003;;-
0;o charakterze kryminalnym;2004;;-
0;o charakterze kryminalnym;2005;;-
0;o charakterze kryminalnym;2006;;-
0;o charakterze kryminalnym;2007;794317;-
0;o charakterze kryminalnym;2008;735218;-
0;o charakterze kryminalnym;2009;763597;-
0;o charakterze kryminalnym;2010;778905;-
0;o charakterze kryminalnym;2011;794102;-
0;o charakterze kryminalnym;2012;781340;-
0;o charakterze kryminalnym;2013;727806;-
0;o charakterze kryminalnym;2014;589147;-
0;o charakterze kryminalnym;2015;522546;-
0;o charakterze gospodarczym;2002;;-
0;o charakterze gospodarczym;2003;;-
0;o charakterze gospodarczym;2004;;-
0;o charakterze gospodarczym;2005;;-
0;o charakterze gospodarczym;2006;;-
0;o charakterze gospodarczym;2007;143108;-
0;o charakterze gospodarczym;2008;135305;-
0;o charakterze gospodarczym;2009;151265;-
0;o charakterze gospodarczym;2010;154341;-
0;o charakterze gospodarczym;2011;151655;-
0;o charakterze gospodarczym;2012;141483;-
0;o charakterze gospodarczym;2013;159530;-
0;o charakterze gospodarczym;2014;161135;-
0;o charakterze gospodarczym;2015;167741;-
0;przeciwko życiu i zdrowiu;2002;33866;-
0;przeciwko życiu i zdrowiu;2003;32288;-
0;przeciwko życiu i zdrowiu;2004;32925;-
0;przeciwko życiu i zdrowiu;2005;31736;-
0;przeciwko życiu i zdrowiu;2006;32412;-
0;przeciwko życiu i zdrowiu;2007;32841;-
