Kod;Zdawalność;Rok;Wartosc;Jednostka miary;Rodzaje egzaminów
0;ogółem;2005;66,36;%;w części humanistycznej
0;ogółem;2006;62,78;%;w części humanistycznej
0;ogółem;2007;62,95;%;w części humanistycznej
0;ogółem;2008;61,49;%;w części humanistycznej
0;ogółem;2009;63,34;%;w części humanistycznej
0;ogółem;2010;60,68;%;w części humanistycznej
0;ogółem;2011;50,62;%;w części humanistycznej
0;ogółem;2012;;%;w części humanistycznej
0;ogółem;2013;;%;w części humanistycznej
0;w stosunku do średniej krajowej;2005;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2006;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2007;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2008;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2009;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2010;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2011;100;-;w części humanistycznej
0;w stosunku do średniej krajowej;2012;;-;w części humanistycznej
0;w stosunku do średniej krajowej;2013;;-;w części humanistycznej
0;ogółem;2005;48,51;%;w części matematyczno-przyrodniczej
0;ogółem;2006;47,79;%;w części matematyczno-przyrodniczej
0;ogółem;2007;50,62;%;w części matematyczno-przyrodniczej
0;ogółem;2008;54,15;%;w części matematyczno-przyrodniczej
0;ogółem;2009;52,06;%;w części matematyczno-przyrodniczej
0;ogółem;2010;47,8;%;w części matematyczno-przyrodniczej
0;ogółem;2011;47,26;%;w części matematyczno-przyrodniczej
0;ogółem;2012;;%;w części matematyczno-przyrodniczej
0;ogółem;2013;;%;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2005;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2006;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2007;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2008;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2009;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2010;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2011;100;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2012;;-;w części matematyczno-przyrodniczej
0;w stosunku do średniej krajowej;2013;;-;w części matematyczno-przyrodniczej
0;ogółem;2005;;%;w części humanistycznej język polski
0;ogółem;2006;;%;w części humanistycznej język polski
0;ogółem;2007;;%;w części humanistycznej język polski
0;ogółem;2008;;%;w części humanistycznej język polski
0;ogółem;2009;;%;w części humanistycznej język polski
0;ogółem;2010;;%;w części humanistycznej język polski
0;ogółem;2011;;%;w części humanistycznej język polski
0;ogółem;2012;65;%;w części humanistycznej język polski
0;ogółem;2013;62;%;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2005;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2006;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2007;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2008;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2009;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2010;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2011;;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2012;100;-;w części humanistycznej język polski
0;w stosunku do średniej krajowej;2013;100;-;w części humanistycznej język polski
0;ogółem;2005;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2006;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2007;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2008;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2009;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2010;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2011;;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2012;61;%;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2013;58;%;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2005;;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2006;;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2007;;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2008;;-;w części humanistycznej historia i wiedza o społeczeństwie
