Kod;Typy szkół;Rok;Wartosc;Jednostka miary
0;ogółem;2010;27;osoba
0;ogółem;2011;27;osoba
0;ogółem;2012;27;osoba
0;ogółem;2013;27;osoba
0;ogółem;2014;2;osoba
0;ogółem;2015;3;osoba
0;szkoły ogólnokształcące dla młodzieży;2010;27;osoba
0;szkoły ogólnokształcące dla młodzieży;2011;27;osoba
0;szkoły ogólnokształcące dla młodzieży;2012;27;osoba
0;szkoły ogólnokształcące dla młodzieży;2013;27;osoba
0;szkoły ogólnokształcące dla młodzieży;2014;27;osoba
0;szkoły ogólnokształcące dla młodzieży;2015;27;osoba
0;licea ogólnokształcące dla młodzieży bez specjalnych;2010;28;osoba
0;licea ogólnokształcące dla młodzieży bez specjalnych;2011;27;osoba
0;licea ogólnokształcące dla młodzieży bez specjalnych;2012;27;osoba
0;licea ogólnokształcące dla młodzieży bez specjalnych;2013;27;osoba
0;licea ogólnokształcące dla młodzieży bez specjalnych;2014;27;osoba
0;licea ogólnokształcące dla młodzieży bez specjalnych;2015;27;osoba
0;licea ogólnokształcące specjalne dla młodzieży;2010;9;osoba
0;licea ogólnokształcące specjalne dla młodzieży;2011;9;osoba
0;licea ogólnokształcące specjalne dla młodzieży;2012;9;osoba
0;licea ogólnokształcące specjalne dla młodzieży;2013;9;osoba
0;licea ogólnokształcące specjalne dla młodzieży;2014;8;osoba
0;licea ogólnokształcące specjalne dla młodzieży;2015;8;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2010;20;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2011;23;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2012;18;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2013;0;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2014;;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2015;;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2010;11;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2011;10;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2012;9;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2013;6;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2014;;osoba
0;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2015;;osoba
0;szkoły ogólnokształcące dla dorosłych;2010;26;osoba
0;szkoły ogólnokształcące dla dorosłych;2011;25;osoba
0;szkoły ogólnokształcące dla dorosłych;2012;26;osoba
0;szkoły ogólnokształcące dla dorosłych;2013;28;osoba
0;szkoły ogólnokształcące dla dorosłych;2014;27;osoba
0;szkoły ogólnokształcące dla dorosłych;2015;26;osoba
0;licea ogólnokształcące dla dorosłych;2010;26;osoba
0;licea ogólnokształcące dla dorosłych;2011;25;osoba
0;licea ogólnokształcące dla dorosłych;2012;29;osoba
0;licea ogólnokształcące dla dorosłych;2013;28;osoba
0;licea ogólnokształcące dla dorosłych;2014;27;osoba
0;licea ogólnokształcące dla dorosłych;2015;26;osoba
0;uzupełniające licea ogólnokształcące dla dorosłych;2010;26;osoba
0;uzupełniające licea ogólnokształcące dla dorosłych;2011;26;osoba
0;uzupełniające licea ogólnokształcące dla dorosłych;2012;21;osoba
0;uzupełniające licea ogólnokształcące dla dorosłych;2013;18;osoba
0;uzupełniające licea ogólnokształcące dla dorosłych;2014;;osoba
0;uzupełniające licea ogólnokształcące dla dorosłych;2015;;osoba
1100000000;ogółem;2010;25;osoba
1100000000;ogółem;2011;25;osoba
1100000000;ogółem;2012;25;osoba
1100000000;ogółem;2013;26;osoba
1100000000;ogółem;2014;2;osoba
1100000000;ogółem;2015;2;osoba
1100000000;szkoły ogólnokształcące dla młodzieży;2010;27;osoba
1100000000;szkoły ogólnokształcące dla młodzieży;2011;27;osoba
1100000000;szkoły ogólnokształcące dla młodzieży;2012;26;osoba
1100000000;szkoły ogólnokształcące dla młodzieży;2013;27;osoba
1100000000;szkoły ogólnokształcące dla młodzieży;2014;26;osoba
1100000000;szkoły ogólnokształcące dla młodzieży;2015;26;osoba
1100000000;licea ogólnokształcące dla młodzieży bez specjalnych;2010;27;osoba
1100000000;licea ogólnokształcące dla młodzieży bez specjalnych;2011;27;osoba
1100000000;licea ogólnokształcące dla młodzieży bez specjalnych;2012;27;osoba
1100000000;licea ogólnokształcące dla młodzieży bez specjalnych;2013;27;osoba
1100000000;licea ogólnokształcące dla młodzieży bez specjalnych;2014;26;osoba
1100000000;licea ogólnokształcące dla młodzieży bez specjalnych;2015;26;osoba
1100000000;licea ogólnokształcące specjalne dla młodzieży;2010;10;osoba
1100000000;licea ogólnokształcące specjalne dla młodzieży;2011;11;osoba
1100000000;licea ogólnokształcące specjalne dla młodzieży;2012;11;osoba
1100000000;licea ogólnokształcące specjalne dla młodzieży;2013;12;osoba
1100000000;licea ogólnokształcące specjalne dla młodzieży;2014;12;osoba
1100000000;licea ogólnokształcące specjalne dla młodzieży;2015;10;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2010;25;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2011;21;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2012;15;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2013;0;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2014;;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2015;;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2010;10;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2011;13;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2012;14;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2013;6;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2014;;osoba
1100000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2015;;osoba
1100000000;szkoły ogólnokształcące dla dorosłych;2010;20;osoba
1100000000;szkoły ogólnokształcące dla dorosłych;2011;20;osoba
1100000000;szkoły ogólnokształcące dla dorosłych;2012;23;osoba
1100000000;szkoły ogólnokształcące dla dorosłych;2013;26;osoba
1100000000;szkoły ogólnokształcące dla dorosłych;2014;26;osoba
1100000000;szkoły ogólnokształcące dla dorosłych;2015;25;osoba
1100000000;licea ogólnokształcące dla dorosłych;2010;20;osoba
1100000000;licea ogólnokształcące dla dorosłych;2011;20;osoba
1100000000;licea ogólnokształcące dla dorosłych;2012;25;osoba
1100000000;licea ogólnokształcące dla dorosłych;2013;27;osoba
1100000000;licea ogólnokształcące dla dorosłych;2014;26;osoba
1100000000;licea ogólnokształcące dla dorosłych;2015;25;osoba
1100000000;uzupełniające licea ogólnokształcące dla dorosłych;2010;19;osoba
1100000000;uzupełniające licea ogólnokształcące dla dorosłych;2011;21;osoba
1100000000;uzupełniające licea ogólnokształcące dla dorosłych;2012;17;osoba
1100000000;uzupełniające licea ogólnokształcące dla dorosłych;2013;15;osoba
1100000000;uzupełniające licea ogólnokształcące dla dorosłych;2014;;osoba
1100000000;uzupełniające licea ogólnokształcące dla dorosłych;2015;;osoba
1140000000;ogółem;2010;27;osoba
1140000000;ogółem;2011;27;osoba
1140000000;ogółem;2012;27;osoba
1140000000;ogółem;2013;27;osoba
1140000000;ogółem;2014;3;osoba
1140000000;ogółem;2015;3;osoba
1140000000;szkoły ogólnokształcące dla młodzieży;2010;27;osoba
1140000000;szkoły ogólnokształcące dla młodzieży;2011;27;osoba
1140000000;szkoły ogólnokształcące dla młodzieży;2012;27;osoba
1140000000;szkoły ogólnokształcące dla młodzieży;2013;27;osoba
1140000000;szkoły ogólnokształcące dla młodzieży;2014;27;osoba
1140000000;szkoły ogólnokształcące dla młodzieży;2015;27;osoba
1140000000;licea ogólnokształcące dla młodzieży bez specjalnych;2010;27;osoba
1140000000;licea ogólnokształcące dla młodzieży bez specjalnych;2011;27;osoba
1140000000;licea ogólnokształcące dla młodzieży bez specjalnych;2012;27;osoba
1140000000;licea ogólnokształcące dla młodzieży bez specjalnych;2013;27;osoba
1140000000;licea ogólnokształcące dla młodzieży bez specjalnych;2014;27;osoba
1140000000;licea ogólnokształcące dla młodzieży bez specjalnych;2015;27;osoba
1140000000;licea ogólnokształcące specjalne dla młodzieży;2010;10;osoba
1140000000;licea ogólnokształcące specjalne dla młodzieży;2011;11;osoba
1140000000;licea ogólnokształcące specjalne dla młodzieży;2012;11;osoba
1140000000;licea ogólnokształcące specjalne dla młodzieży;2013;11;osoba
1140000000;licea ogólnokształcące specjalne dla młodzieży;2014;10;osoba
1140000000;licea ogólnokształcące specjalne dla młodzieży;2015;10;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2010;20;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2011;23;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2012;18;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2013;0;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2014;;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2015;;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2010;12;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2011;12;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2012;11;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2013;0;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2014;;osoba
1140000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2015;;osoba
1140000000;szkoły ogólnokształcące dla dorosłych;2010;27;osoba
1140000000;szkoły ogólnokształcące dla dorosłych;2011;28;osoba
1140000000;szkoły ogólnokształcące dla dorosłych;2012;29;osoba
1140000000;szkoły ogólnokształcące dla dorosłych;2013;30;osoba
1140000000;szkoły ogólnokształcące dla dorosłych;2014;29;osoba
1140000000;szkoły ogólnokształcące dla dorosłych;2015;28;osoba
1140000000;licea ogólnokształcące dla dorosłych;2010;28;osoba
1140000000;licea ogólnokształcące dla dorosłych;2011;28;osoba
1140000000;licea ogólnokształcące dla dorosłych;2012;32;osoba
1140000000;licea ogólnokształcące dla dorosłych;2013;31;osoba
1140000000;licea ogólnokształcące dla dorosłych;2014;29;osoba
1140000000;licea ogólnokształcące dla dorosłych;2015;28;osoba
1140000000;uzupełniające licea ogólnokształcące dla dorosłych;2010;26;osoba
1140000000;uzupełniające licea ogólnokształcące dla dorosłych;2011;27;osoba
1140000000;uzupełniające licea ogólnokształcące dla dorosłych;2012;23;osoba
1140000000;uzupełniające licea ogólnokształcące dla dorosłych;2013;19;osoba
1140000000;uzupełniające licea ogólnokształcące dla dorosłych;2014;;osoba
1140000000;uzupełniające licea ogólnokształcące dla dorosłych;2015;;osoba
2120000000;ogółem;2010;28;osoba
2120000000;ogółem;2011;27;osoba
2120000000;ogółem;2012;28;osoba
2120000000;ogółem;2013;28;osoba
2120000000;ogółem;2014;4;osoba
2120000000;ogółem;2015;4;osoba
2120000000;szkoły ogólnokształcące dla młodzieży;2010;29;osoba
2120000000;szkoły ogólnokształcące dla młodzieży;2011;28;osoba
2120000000;szkoły ogólnokształcące dla młodzieży;2012;28;osoba
2120000000;szkoły ogólnokształcące dla młodzieży;2013;28;osoba
2120000000;szkoły ogólnokształcące dla młodzieży;2014;28;osoba
2120000000;szkoły ogólnokształcące dla młodzieży;2015;28;osoba
2120000000;licea ogólnokształcące dla młodzieży bez specjalnych;2010;29;osoba
2120000000;licea ogólnokształcące dla młodzieży bez specjalnych;2011;29;osoba
2120000000;licea ogólnokształcące dla młodzieży bez specjalnych;2012;29;osoba
2120000000;licea ogólnokształcące dla młodzieży bez specjalnych;2013;28;osoba
2120000000;licea ogólnokształcące dla młodzieży bez specjalnych;2014;28;osoba
2120000000;licea ogólnokształcące dla młodzieży bez specjalnych;2015;28;osoba
2120000000;licea ogólnokształcące specjalne dla młodzieży;2010;8;osoba
2120000000;licea ogólnokształcące specjalne dla młodzieży;2011;6;osoba
2120000000;licea ogólnokształcące specjalne dla młodzieży;2012;6;osoba
2120000000;licea ogólnokształcące specjalne dla młodzieży;2013;6;osoba
2120000000;licea ogólnokształcące specjalne dla młodzieży;2014;6;osoba
2120000000;licea ogólnokształcące specjalne dla młodzieży;2015;6;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2010;0;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2011;0;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2012;0;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2013;0;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2014;;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży (bez specjalnych);2015;;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2010;11;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2011;11;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2012;10;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2013;0;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2014;;osoba
2120000000;uzupełniające licea ogólnokształcące dla młodzieży specjalne;2015;;osoba
2120000000;szkoły ogólnokształcące dla dorosłych;2010;24;osoba
2120000000;szkoły ogólnokształcące dla dorosłych;2011;24;osoba
2120000000;szkoły ogólnokształcące dla dorosłych;2012;26;osoba
2120000000;szkoły ogólnokształcące dla dorosłych;2013;29;osoba
2120000000;szkoły ogólnokształcące dla dorosłych;2014;27;osoba
2120000000;szkoły ogólnokształcące dla dorosłych;2015;26;osoba
