Kod;Przedszkola/Dzieci/Oddziały;Rok;Wartosc;Jednostka miary
0;ogółem;2010;1121;ob.
0;ogółem;2011;1405;ob.
0;ogółem;2012;1623;ob.
0;ogółem;2013;2021;ob.
0;ogółem;2014;2013;ob.
0;ogółem;2015;1852;ob.
0;ogółem;2010;0;ob.
0;ogółem;2011;0;ob.
0;ogółem;2012;0;ob.
0;ogółem;2013;0;ob.
0;ogółem;2014;0;ob.
0;ogółem;2015;0;ob.
0;ogółem;2010;466;ob.
0;ogółem;2011;480;ob.
0;ogółem;2012;483;ob.
0;ogółem;2013;541;ob.
0;ogółem;2014;555;ob.
0;ogółem;2015;523;ob.
0;oddziały;2010;1282;-
0;oddziały;2011;1677;-
0;oddziały;2012;1965;-
0;oddziały;2013;2499;-
0;oddziały;2014;2595;-
0;oddziały;2015;2492;-
0;oddziały;2010;0;-
0;oddziały;2011;0;-
0;oddziały;2012;0;-
0;oddziały;2013;0;-
0;oddziały;2014;0;-
0;oddziały;2015;0;-
0;oddziały;2010;522;-
0;oddziały;2011;545;-
0;oddziały;2012;554;-
0;oddziały;2013;636;-
0;oddziały;2014;645;-
0;oddziały;2015;623;-
0;miejsca;2010;25246;msc.
0;miejsca;2011;31990;msc.
0;miejsca;2012;37561;msc.
0;miejsca;2013;47103;msc.
0;miejsca;2014;47297;msc.
0;miejsca;2015;44315;msc.
0;miejsca;2010;0;msc.
0;miejsca;2011;0;msc.
0;miejsca;2012;0;msc.
0;miejsca;2013;0;msc.
0;miejsca;2014;0;msc.
0;miejsca;2015;0;msc.
0;miejsca;2010;10320;msc.
0;miejsca;2011;10883;msc.
0;miejsca;2012;11237;msc.
0;miejsca;2013;13057;msc.
0;miejsca;2014;13886;msc.
0;miejsca;2015;13484;msc.
1100000000;ogółem;2010;45;ob.
1100000000;ogółem;2011;58;ob.
1100000000;ogółem;2012;77;ob.
1100000000;ogółem;2013;96;ob.
1100000000;ogółem;2014;106;ob.
1100000000;ogółem;2015;100;ob.
1100000000;ogółem;2010;0;ob.
1100000000;ogółem;2011;0;ob.
1100000000;ogółem;2012;0;ob.
1100000000;ogółem;2013;0;ob.
1100000000;ogółem;2014;0;ob.
1100000000;ogółem;2015;0;ob.
1100000000;ogółem;2010;24;ob.
1100000000;ogółem;2011;20;ob.
1100000000;ogółem;2012;25;ob.
1100000000;ogółem;2013;26;ob.
1100000000;ogółem;2014;28;ob.
1100000000;ogółem;2015;31;ob.
1100000000;oddziały;2010;50;-
1100000000;oddziały;2011;68;-
1100000000;oddziały;2012;82;-
1100000000;oddziały;2013;109;-
1100000000;oddziały;2014;119;-
1100000000;oddziały;2015;124;-
1100000000;oddziały;2010;0;-
1100000000;oddziały;2011;0;-
1100000000;oddziały;2012;0;-
1100000000;oddziały;2013;0;-
1100000000;oddziały;2014;0;-
1100000000;oddziały;2015;0;-
1100000000;oddziały;2010;27;-
1100000000;oddziały;2011;22;-
1100000000;oddziały;2012;27;-
1100000000;oddziały;2013;28;-
1100000000;oddziały;2014;31;-
1100000000;oddziały;2015;37;-
1100000000;miejsca;2010;982;msc.
1100000000;miejsca;2011;1418;msc.
1100000000;miejsca;2012;1692;msc.
1100000000;miejsca;2013;2252;msc.
1100000000;miejsca;2014;2461;msc.
1100000000;miejsca;2015;2456;msc.
1100000000;miejsca;2010;0;msc.
1100000000;miejsca;2011;0;msc.
1100000000;miejsca;2012;0;msc.
1100000000;miejsca;2013;0;msc.
1100000000;miejsca;2014;0;msc.
1100000000;miejsca;2015;0;msc.
1100000000;miejsca;2010;554;msc.
1100000000;miejsca;2011;516;msc.
1100000000;miejsca;2012;573;msc.
1100000000;miejsca;2013;614;msc.
1100000000;miejsca;2014;708;msc.
1100000000;miejsca;2015;835;msc.
1140000000;ogółem;2010;171;ob.
1140000000;ogółem;2011;269;ob.
1140000000;ogółem;2012;286;ob.
1140000000;ogółem;2013;384;ob.
1140000000;ogółem;2014;386;ob.
1140000000;ogółem;2015;354;ob.
1140000000;ogółem;2010;0;ob.
1140000000;ogółem;2011;0;ob.
1140000000;ogółem;2012;0;ob.
1140000000;ogółem;2013;0;ob.
1140000000;ogółem;2014;0;ob.
1140000000;ogółem;2015;0;ob.
1140000000;ogółem;2010;45;ob.
1140000000;ogółem;2011;48;ob.
1140000000;ogółem;2012;64;ob.
1140000000;ogółem;2013;63;ob.
1140000000;ogółem;2014;59;ob.
1140000000;ogółem;2015;54;ob.
1140000000;oddziały;2010;193;-
1140000000;oddziały;2011;331;-
1140000000;oddziały;2012;374;-
1140000000;oddziały;2013;508;-
1140000000;oddziały;2014;558;-
1140000000;oddziały;2015;508;-
1140000000;oddziały;2010;0;-
1140000000;oddziały;2011;0;-
1140000000;oddziały;2012;0;-
1140000000;oddziały;2013;0;-
1140000000;oddziały;2014;0;-
1140000000;oddziały;2015;0;-
1140000000;oddziały;2010;49;-
1140000000;oddziały;2011;53;-
1140000000;oddziały;2012;80;-
1140000000;oddziały;2013;79;-
1140000000;oddziały;2014;69;-
1140000000;oddziały;2015;61;-
1140000000;miejsca;2010;3820;msc.
1140000000;miejsca;2011;5807;msc.
1140000000;miejsca;2012;6747;msc.
1140000000;miejsca;2013;8876;msc.
1140000000;miejsca;2014;9137;msc.
1140000000;miejsca;2015;8185;msc.
1140000000;miejsca;2010;0;msc.
1140000000;miejsca;2011;0;msc.
1140000000;miejsca;2012;0;msc.
1140000000;miejsca;2013;0;msc.
1140000000;miejsca;2014;0;msc.
1140000000;miejsca;2015;0;msc.
1140000000;miejsca;2010;911;msc.
1140000000;miejsca;2011;970;msc.
1140000000;miejsca;2012;1548;msc.
1140000000;miejsca;2013;1544;msc.
1140000000;miejsca;2014;1453;msc.
1140000000;miejsca;2015;1248;msc.
2120000000;ogółem;2010;51;ob.
2120000000;ogółem;2011;62;ob.
2120000000;ogółem;2012;86;ob.
2120000000;ogółem;2013;100;ob.
2120000000;ogółem;2014;96;ob.
2120000000;ogółem;2015;95;ob.
2120000000;ogółem;2010;0;ob.
2120000000;ogółem;2011;0;ob.
2120000000;ogółem;2012;0;ob.
2120000000;ogółem;2013;0;ob.
2120000000;ogółem;2014;0;ob.
2120000000;ogółem;2015;0;ob.
2120000000;ogółem;2010;25;ob.
2120000000;ogółem;2011;27;ob.
2120000000;ogółem;2012;26;ob.
2120000000;ogółem;2013;23;ob.
2120000000;ogółem;2014;22;ob.
2120000000;ogółem;2015;24;ob.
2120000000;oddziały;2010;60;-
2120000000;oddziały;2011;78;-
2120000000;oddziały;2012;118;-
2120000000;oddziały;2013;140;-
2120000000;oddziały;2014;136;-
2120000000;oddziały;2015;145;-
2120000000;oddziały;2010;0;-
2120000000;oddziały;2011;0;-
2120000000;oddziały;2012;0;-
2120000000;oddziały;2013;0;-
2120000000;oddziały;2014;0;-
2120000000;oddziały;2015;0;-
2120000000;oddziały;2010;31;-
2120000000;oddziały;2011;35;-
2120000000;oddziały;2012;33;-
2120000000;oddziały;2013;31;-
2120000000;oddziały;2014;31;-
2120000000;oddziały;2015;33;-
2120000000;miejsca;2010;1294;msc.
2120000000;miejsca;2011;1626;msc.
2120000000;miejsca;2012;2296;msc.
2120000000;miejsca;2013;2653;msc.
2120000000;miejsca;2014;2462;msc.
2120000000;miejsca;2015;2458;msc.
2120000000;miejsca;2010;0;msc.
2120000000;miejsca;2011;0;msc.
2120000000;miejsca;2012;0;msc.
2120000000;miejsca;2013;0;msc.
2120000000;miejsca;2014;0;msc.
2120000000;miejsca;2015;0;msc.
2120000000;miejsca;2010;664;msc.
2120000000;miejsca;2011;726;msc.
2120000000;miejsca;2012;681;msc.
2120000000;miejsca;2013;663;msc.
2120000000;miejsca;2014;665;msc.
2120000000;miejsca;2015;734;msc.
2240000000;ogółem;2010;26;ob.
2240000000;ogółem;2011;54;ob.
2240000000;ogółem;2012;53;ob.
2240000000;ogółem;2013;67;ob.
2240000000;ogółem;2014;68;ob.
2240000000;ogółem;2015;71;ob.
2240000000;ogółem;2010;0;ob.
2240000000;ogółem;2011;0;ob.
2240000000;ogółem;2012;0;ob.
2240000000;ogółem;2013;0;ob.
2240000000;ogółem;2014;0;ob.
2240000000;ogółem;2015;0;ob.
2240000000;ogółem;2010;5;ob.
2240000000;ogółem;2011;9;ob.
2240000000;ogółem;2012;5;ob.
2240000000;ogółem;2013;6;ob.
2240000000;ogółem;2014;6;ob.
2240000000;ogółem;2015;7;ob.
2240000000;oddziały;2010;30;-
2240000000;oddziały;2011;66;-
2240000000;oddziały;2012;66;-
2240000000;oddziały;2013;82;-
2240000000;oddziały;2014;89;-
2240000000;oddziały;2015;106;-
2240000000;oddziały;2010;0;-
2240000000;oddziały;2011;0;-
2240000000;oddziały;2012;0;-
2240000000;oddziały;2013;0;-
2240000000;oddziały;2014;0;-
2240000000;oddziały;2015;0;-
2240000000;oddziały;2010;5;-
2240000000;oddziały;2011;9;-
2240000000;oddziały;2012;5;-
2240000000;oddziały;2013;7;-
2240000000;oddziały;2014;6;-
2240000000;oddziały;2015;7;-
2240000000;miejsca;2010;573;msc.
2240000000;miejsca;2011;1142;msc.
2240000000;miejsca;2012;1194;msc.
2240000000;miejsca;2013;1533;msc.
2240000000;miejsca;2014;1461;msc.
2240000000;miejsca;2015;1532;msc.
2240000000;miejsca;2010;0;msc.
2240000000;miejsca;2011;0;msc.
2240000000;miejsca;2012;0;msc.
2240000000;miejsca;2013;0;msc.
2240000000;miejsca;2014;0;msc.
2240000000;miejsca;2015;0;msc.
2240000000;miejsca;2010;102;msc.
2240000000;miejsca;2011;127;msc.
2240000000;miejsca;2012;107;msc.
2240000000;miejsca;2013;142;msc.
2240000000;miejsca;2014;137;msc.
2240000000;miejsca;2015;162;msc.
3060000000;ogółem;2010;94;ob.
3060000000;ogółem;2011;101;ob.
3060000000;ogółem;2012;103;ob.
3060000000;ogółem;2013;112;ob.
3060000000;ogółem;2014;115;ob.
3060000000;ogółem;2015;112;ob.
3060000000;ogółem;2010;0;ob.
3060000000;ogółem;2011;0;ob.
3060000000;ogółem;2012;0;ob.
3060000000;ogółem;2013;0;ob.
3060000000;ogółem;2014;0;ob.
3060000000;ogółem;2015;0;ob.
3060000000;ogółem;2010;67;ob.
3060000000;ogółem;2011;73;ob.
3060000000;ogółem;2012;66;ob.
3060000000;ogółem;2013;68;ob.
3060000000;ogółem;2014;70;ob.
3060000000;ogółem;2015;62;ob.
3060000000;oddziały;2010;99;-
3060000000;oddziały;2011;108;-
3060000000;oddziały;2012;115;-
3060000000;oddziały;2013;132;-
3060000000;oddziały;2014;133;-
3060000000;oddziały;2015;139;-
3060000000;oddziały;2010;0;-
3060000000;oddziały;2011;0;-
3060000000;oddziały;2012;0;-
3060000000;oddziały;2013;0;-
3060000000;oddziały;2014;0;-
3060000000;oddziały;2015;0;-
3060000000;oddziały;2010;69;-
3060000000;oddziały;2011;77;-
3060000000;oddziały;2012;71;-
3060000000;oddziały;2013;79;-
3060000000;oddziały;2014;79;-
3060000000;oddziały;2015;75;-
3060000000;miejsca;2010;1900;msc.
3060000000;miejsca;2011;1987;msc.
3060000000;miejsca;2012;2156;msc.
3060000000;miejsca;2013;2499;msc.
3060000000;miejsca;2014;2631;msc.
3060000000;miejsca;2015;2705;msc.
3060000000;miejsca;2010;0;msc.
3060000000;miejsca;2011;0;msc.
3060000000;miejsca;2012;0;msc.
3060000000;miejsca;2013;0;msc.
3060000000;miejsca;2014;0;msc.
3060000000;miejsca;2015;0;msc.
3060000000;miejsca;2010;1269;msc.
3060000000;miejsca;2011;1374;msc.
3060000000;miejsca;2012;1365;msc.
3060000000;miejsca;2013;1538;msc.
3060000000;miejsca;2014;1627;msc.
3060000000;miejsca;2015;1642;msc.
3180000000;ogółem;2010;74;ob.
3180000000;ogółem;2011;78;ob.
3180000000;ogółem;2012;126;ob.
3180000000;ogółem;2013;142;ob.
3180000000;ogółem;2014;132;ob.
3180000000;ogółem;2015;129;ob.
3180000000;ogółem;2010;0;ob.
3180000000;ogółem;2011;0;ob.
3180000000;ogółem;2012;0;ob.
3180000000;ogółem;2013;0;ob.
3180000000;ogółem;2014;0;ob.
3180000000;ogółem;2015;0;ob.
3180000000;ogółem;2010;46;ob.
3180000000;ogółem;2011;45;ob.
3180000000;ogółem;2012;38;ob.
3180000000;ogółem;2013;42;ob.
3180000000;ogółem;2014;48;ob.
3180000000;ogółem;2015;45;ob.
3180000000;oddziały;2010;81;-
3180000000;oddziały;2011;88;-
3180000000;oddziały;2012;138;-
3180000000;oddziały;2013;160;-
3180000000;oddziały;2014;145;-
3180000000;oddziały;2015;147;-
3180000000;oddziały;2010;0;-
3180000000;oddziały;2011;0;-
3180000000;oddziały;2012;0;-
3180000000;oddziały;2013;0;-
3180000000;oddziały;2014;0;-
3180000000;oddziały;2015;0;-
3180000000;oddziały;2010;50;-
3180000000;oddziały;2011;51;-
3180000000;oddziały;2012;43;-
3180000000;oddziały;2013;48;-
3180000000;oddziały;2014;56;-
3180000000;oddziały;2015;52;-
3180000000;miejsca;2010;1555;msc.
3180000000;miejsca;2011;1661;msc.
3180000000;miejsca;2012;3029;msc.
3180000000;miejsca;2013;3537;msc.
3180000000;miejsca;2014;3374;msc.
3180000000;miejsca;2015;3445;msc.
3180000000;miejsca;2010;0;msc.
3180000000;miejsca;2011;0;msc.
3180000000;miejsca;2012;0;msc.
3180000000;miejsca;2013;0;msc.
3180000000;miejsca;2014;0;msc.
3180000000;miejsca;2015;0;msc.
3180000000;miejsca;2010;957;msc.
3180000000;miejsca;2011;962;msc.
3180000000;miejsca;2012;868;msc.
3180000000;miejsca;2013;1044;msc.
3180000000;miejsca;2014;1320;msc.
3180000000;miejsca;2015;1224;msc.
3200000000;ogółem;2010;47;ob.
3200000000;ogółem;2011;85;ob.
3200000000;ogółem;2012;114;ob.
3200000000;ogółem;2013;113;ob.
3200000000;ogółem;2014;102;ob.
3200000000;ogółem;2015;92;ob.
3200000000;ogółem;2010;0;ob.
3200000000;ogółem;2011;0;ob.
3200000000;ogółem;2012;0;ob.
3200000000;ogółem;2013;0;ob.
3200000000;ogółem;2014;0;ob.
3200000000;ogółem;2015;0;ob.
3200000000;ogółem;2010;41;ob.
3200000000;ogółem;2011;63;ob.
3200000000;ogółem;2012;75;ob.
3200000000;ogółem;2013;71;ob.
3200000000;ogółem;2014;62;ob.
3200000000;ogółem;2015;56;ob.
3200000000;oddziały;2010;51;-
3200000000;oddziały;2011;101;-
3200000000;oddziały;2012;142;-
3200000000;oddziały;2013;135;-
3200000000;oddziały;2014;126;-
3200000000;oddziały;2015;120;-
3200000000;oddziały;2010;0;-
3200000000;oddziały;2011;0;-
3200000000;oddziały;2012;0;-
3200000000;oddziały;2013;0;-
3200000000;oddziały;2014;0;-
3200000000;oddziały;2015;0;-
