Kod;Zakres przedmiotowy;Rok;Wartosc;Jednostka miary;Typy szkół
0;ogółem;2010;453;ob.;szkoły wyższe ogółem
0;ogółem;2011;453;ob.;szkoły wyższe ogółem
0;ogółem;2012;453;ob.;szkoły wyższe ogółem
0;ogółem;2013;438;ob.;szkoły wyższe ogółem
0;ogółem;2014;434;ob.;szkoły wyższe ogółem
0;ogółem;2015;415;ob.;szkoły wyższe ogółem
0;jednostki zamiejscowe;2010;291;ob.;szkoły wyższe ogółem
0;jednostki zamiejscowe;2011;292;ob.;szkoły wyższe ogółem
0;jednostki zamiejscowe;2012;252;ob.;szkoły wyższe ogółem
0;jednostki zamiejscowe;2013;235;ob.;szkoły wyższe ogółem
0;jednostki zamiejscowe;2014;219;ob.;szkoły wyższe ogółem
0;jednostki zamiejscowe;2015;180;ob.;szkoły wyższe ogółem
0;studenci;2010;1817533;osoba;szkoły wyższe ogółem
0;studenci;2011;1736612;osoba;szkoły wyższe ogółem
0;studenci;2012;1675815;osoba;szkoły wyższe ogółem
0;studenci;2013;1548748;osoba;szkoły wyższe ogółem
0;studenci;2014;1468406;osoba;szkoły wyższe ogółem
0;studenci;2015;1403794;osoba;szkoły wyższe ogółem
0;absolwenci;2010;474552;osoba;szkoły wyższe ogółem
0;absolwenci;2011;492646;osoba;szkoły wyższe ogółem
0;absolwenci;2012;484999;osoba;szkoły wyższe ogółem
0;absolwenci;2013;454986;osoba;szkoły wyższe ogółem
0;absolwenci;2014;424317;osoba;szkoły wyższe ogółem
0;absolwenci;2015;394987;osoba;szkoły wyższe ogółem
0;ogółem;2010;19;ob.;uniwersytety
0;ogółem;2011;19;ob.;uniwersytety
0;ogółem;2012;19;ob.;uniwersytety
0;ogółem;2013;19;ob.;uniwersytety
0;ogółem;2014;19;ob.;uniwersytety
0;ogółem;2015;19;ob.;uniwersytety
0;jednostki zamiejscowe;2010;47;ob.;uniwersytety
0;jednostki zamiejscowe;2011;41;ob.;uniwersytety
0;jednostki zamiejscowe;2012;36;ob.;uniwersytety
0;jednostki zamiejscowe;2013;30;ob.;uniwersytety
0;jednostki zamiejscowe;2014;29;ob.;uniwersytety
0;jednostki zamiejscowe;2015;19;ob.;uniwersytety
0;studenci;2010;526796;osoba;uniwersytety
0;studenci;2011;516237;osoba;uniwersytety
0;studenci;2012;492939;osoba;uniwersytety
0;studenci;2013;454225;osoba;uniwersytety
0;studenci;2014;434371;osoba;uniwersytety
0;studenci;2015;421772;osoba;uniwersytety
0;absolwenci;2010;140894;osoba;uniwersytety
0;absolwenci;2011;143510;osoba;uniwersytety
0;absolwenci;2012;141961;osoba;uniwersytety
0;absolwenci;2013;131340;osoba;uniwersytety
0;absolwenci;2014;122563;osoba;uniwersytety
0;absolwenci;2015;114228;osoba;uniwersytety
0;ogółem;2010;23;ob.;wyższe szkoły techniczne
0;ogółem;2011;25;ob.;wyższe szkoły techniczne
0;ogółem;2012;25;ob.;wyższe szkoły techniczne
0;ogółem;2013;25;ob.;wyższe szkoły techniczne
0;ogółem;2014;25;ob.;wyższe szkoły techniczne
0;ogółem;2015;23;ob.;wyższe szkoły techniczne
0;jednostki zamiejscowe;2010;42;ob.;wyższe szkoły techniczne
0;jednostki zamiejscowe;2011;38;ob.;wyższe szkoły techniczne
0;jednostki zamiejscowe;2012;33;ob.;wyższe szkoły techniczne
0;jednostki zamiejscowe;2013;32;ob.;wyższe szkoły techniczne
0;jednostki zamiejscowe;2014;29;ob.;wyższe szkoły techniczne
0;jednostki zamiejscowe;2015;22;ob.;wyższe szkoły techniczne
0;studenci;2010;318738;osoba;wyższe szkoły techniczne
0;studenci;2011;337828;osoba;wyższe szkoły techniczne
0;studenci;2012;343083;osoba;wyższe szkoły techniczne
0;studenci;2013;331099;osoba;wyższe szkoły techniczne
0;studenci;2014;319019;osoba;wyższe szkoły techniczne
0;studenci;2015;301412;osoba;wyższe szkoły techniczne
0;absolwenci;2010;59282;osoba;wyższe szkoły techniczne
0;absolwenci;2011;74494;osoba;wyższe szkoły techniczne
0;absolwenci;2012;77155;osoba;wyższe szkoły techniczne
0;absolwenci;2013;78248;osoba;wyższe szkoły techniczne
0;absolwenci;2014;78436;osoba;wyższe szkoły techniczne
0;absolwenci;2015;79428;osoba;wyższe szkoły techniczne
0;ogółem;2010;7;ob.;wyższe szkoły rolnicze
0;ogółem;2011;7;ob.;wyższe szkoły rolnicze
0;ogółem;2012;7;ob.;wyższe szkoły rolnicze
0;ogółem;2013;7;ob.;wyższe szkoły rolnicze
