Kod;Typy szkół;Rok;Wartosc;Jednostka miary
0;ogółem;2010;23;osoba
0;ogółem;2011;23;osoba
0;ogółem;2012;23;osoba
0;ogółem;2013;23;osoba
0;ogółem;2014;24;osoba
0;ogółem;2015;23;osoba
0;licea profilowane, technika i uzupełniające technika dla młodzieży;2010;24;osoba
0;licea profilowane, technika i uzupełniające technika dla młodzieży;2011;24;osoba
0;licea profilowane, technika i uzupełniające technika dla młodzieży;2012;24;osoba
0;licea profilowane, technika i uzupełniające technika dla młodzieży;2013;24;osoba
0;licea profilowane, technika i uzupełniające technika dla młodzieży;2014;24;osoba
0;licea profilowane, technika i uzupełniające technika dla młodzieży;2015;24;osoba
0;licea profilowane dla młodzieży;2010;24;osoba
0;licea profilowane dla młodzieży;2011;24;osoba
0;licea profilowane dla młodzieży;2012;23;osoba
0;licea profilowane dla młodzieży;2013;22;osoba
0;licea profilowane dla młodzieży;2014;;osoba
0;licea profilowane dla młodzieży;2015;;osoba
0;licea profilowane dla młodzieży bez specjalnych;2010;25;osoba
0;licea profilowane dla młodzieży bez specjalnych;2011;25;osoba
0;licea profilowane dla młodzieży bez specjalnych;2012;24;osoba
0;licea profilowane dla młodzieży bez specjalnych;2013;23;osoba
0;licea profilowane dla młodzieży bez specjalnych;2014;;osoba
0;licea profilowane dla młodzieży bez specjalnych;2015;;osoba
0;licea profilowane dla młodzieży specjalne;2010;8;osoba
0;licea profilowane dla młodzieży specjalne;2011;7;osoba
0;licea profilowane dla młodzieży specjalne;2012;7;osoba
0;licea profilowane dla młodzieży specjalne;2013;8;osoba
0;licea profilowane dla młodzieży specjalne;2014;;osoba
0;licea profilowane dla młodzieży specjalne;2015;;osoba
0;technika i uzupełniające technika dla młodzieży;2010;24;osoba
0;technika i uzupełniające technika dla młodzieży;2011;24;osoba
0;technika i uzupełniające technika dla młodzieży;2012;24;osoba
0;technika i uzupełniające technika dla młodzieży;2013;24;osoba
0;technika i uzupełniające technika dla młodzieży;2014;24;osoba
0;technika i uzupełniające technika dla młodzieży;2015;24;osoba
0;technika dla młodzieży bez specjalnych;2010;24;osoba
0;technika dla młodzieży bez specjalnych;2011;24;osoba
0;technika dla młodzieży bez specjalnych;2012;24;osoba
0;technika dla młodzieży bez specjalnych;2013;24;osoba
0;technika dla młodzieży bez specjalnych;2014;24;osoba
0;technika dla młodzieży bez specjalnych;2015;24;osoba
0;technika dla młodzieży specjalne;2010;7;osoba
0;technika dla młodzieży specjalne;2011;7;osoba
0;technika dla młodzieży specjalne;2012;7;osoba
0;technika dla młodzieży specjalne;2013;7;osoba
0;technika dla młodzieży specjalne;2014;7;osoba
0;technika dla młodzieży specjalne;2015;6;osoba
0;technika uzupełniające dla młodzieży bez specjalnych;2010;20;osoba
0;technika uzupełniające dla młodzieży bez specjalnych;2011;20;osoba
0;technika uzupełniające dla młodzieży bez specjalnych;2012;17;osoba
0;technika uzupełniające dla młodzieży bez specjalnych;2013;16;osoba
0;technika uzupełniające dla młodzieży bez specjalnych;2014;;osoba
0;technika uzupełniające dla młodzieży bez specjalnych;2015;;osoba
0;technika uzupełniające dla młodzieży specjalne;2010;6;osoba
0;technika uzupełniające dla młodzieży specjalne;2011;7;osoba
0;technika uzupełniające dla młodzieży specjalne;2012;6;osoba
0;technika uzupełniające dla młodzieży specjalne;2013;6;osoba
0;technika uzupełniające dla młodzieży specjalne;2014;;osoba
0;technika uzupełniające dla młodzieży specjalne;2015;;osoba
0;licea profilowane, technika i uzupełniające technika dla dorosłych;2010;17;osoba
0;licea profilowane, technika i uzupełniające technika dla dorosłych;2011;17;osoba
0;licea profilowane, technika i uzupełniające technika dla dorosłych;2012;18;osoba
0;licea profilowane, technika i uzupełniające technika dla dorosłych;2013;15;osoba
0;licea profilowane, technika i uzupełniające technika dla dorosłych;2014;15;osoba
0;licea profilowane, technika i uzupełniające technika dla dorosłych;2015;18;osoba
0;licea profilowane dla dorosłych;2010;18;osoba
0;licea profilowane dla dorosłych;2011;16;osoba
0;licea profilowane dla dorosłych;2012;14;osoba
0;licea profilowane dla dorosłych;2013;15;osoba
0;licea profilowane dla dorosłych;2014;12;osoba
0;licea profilowane dla dorosłych;2015;;osoba
0;technika dla dorosłych;2010;14;osoba
0;technika dla dorosłych;2011;14;osoba
0;technika dla dorosłych;2012;13;osoba
0;technika dla dorosłych;2013;13;osoba
0;technika dla dorosłych;2014;15;osoba
0;technika dla dorosłych;2015;19;osoba
0;technika uzupełniające dla dorosłych;2010;18;osoba
0;technika uzupełniające dla dorosłych;2011;18;osoba
0;technika uzupełniające dla dorosłych;2012;19;osoba
0;technika uzupełniające dla dorosłych;2013;15;osoba
0;technika uzupełniające dla dorosłych;2014;15;osoba
0;technika uzupełniające dla dorosłych;2015;13;osoba
0;ogólnokształcące szkoły artystyczne dające uprawnienia zawodowe;2010;12;osoba
0;ogólnokształcące szkoły artystyczne dające uprawnienia zawodowe;2011;12;osoba
0;ogólnokształcące szkoły artystyczne dające uprawnienia zawodowe;2012;14;osoba
0;ogólnokształcące szkoły artystyczne dające uprawnienia zawodowe;2013;14;osoba
0;ogólnokształcące szkoły artystyczne dające uprawnienia zawodowe;2014;14;osoba
0;ogólnokształcące szkoły artystyczne dające uprawnienia zawodowe;2015;12;osoba
1100000000;ogółem;2010;22;osoba
1100000000;ogółem;2011;22;osoba
1100000000;ogółem;2012;22;osoba
1100000000;ogółem;2013;22;osoba
1100000000;ogółem;2014;22;osoba
1100000000;ogółem;2015;23;osoba
1100000000;licea profilowane, technika i uzupełniające technika dla młodzieży;2010;24;osoba
1100000000;licea profilowane, technika i uzupełniające technika dla młodzieży;2011;23;osoba
1100000000;licea profilowane, technika i uzupełniające technika dla młodzieży;2012;23;osoba
1100000000;licea profilowane, technika i uzupełniające technika dla młodzieży;2013;23;osoba
1100000000;licea profilowane, technika i uzupełniające technika dla młodzieży;2014;23;osoba
1100000000;licea profilowane, technika i uzupełniające technika dla młodzieży;2015;23;osoba
1100000000;licea profilowane dla młodzieży;2010;25;osoba
1100000000;licea profilowane dla młodzieży;2011;24;osoba
1100000000;licea profilowane dla młodzieży;2012;24;osoba
1100000000;licea profilowane dla młodzieży;2013;24;osoba
1100000000;licea profilowane dla młodzieży;2014;;osoba
1100000000;licea profilowane dla młodzieży;2015;;osoba
