Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
0;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;46983;msc.
0;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;58371;msc.
0;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;72202;msc.
0;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;80891;msc.
1100000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;3210;msc.
1100000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;3448;msc.
1100000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;3852;msc.
1100000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;4207;msc.
1140000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;7745;msc.
1140000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;9885;msc.
1140000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;12450;msc.
1140000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;14243;msc.
2120000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;3767;msc.
2120000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;4827;msc.
2120000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;6099;msc.
2120000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;7099;msc.
2240000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;5016;msc.
2240000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;6004;msc.
2240000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;7134;msc.
2240000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;8292;msc.
3060000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;1793;msc.
3060000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;2189;msc.
3060000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;2609;msc.
3060000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;2819;msc.
3180000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;2208;msc.
3180000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;2589;msc.
3180000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;3165;msc.
3180000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;3590;msc.
3200000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;1397;msc.
3200000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;1581;msc.
3200000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;2064;msc.
3200000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;2391;msc.
3260000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;835;msc.
3260000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;1075;msc.
3260000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;1300;msc.
