Kod;Wskaźniki;Rok;Wartosc;Jednostka miary
0;drogi ekspresowe i autostrady na 1000 km2;2003;2,02;km
0;drogi ekspresowe i autostrady na 1000 km2;2004;2,51;km
0;drogi ekspresowe i autostrady na 1000 km2;2005;2,59;km
0;drogi ekspresowe i autostrady na 1000 km2;2006;3,07;km
0;drogi ekspresowe i autostrady na 1000 km2;2007;3,17;km
0;drogi ekspresowe i autostrady na 1000 km2;2008;3,89;km
0;drogi ekspresowe i autostrady na 1000 km2;2009;4,38;km
0;drogi ekspresowe i autostrady na 1000 km2;2010;4,9;km
0;drogi ekspresowe i autostrady na 1000 km2;2011;5,78;km
0;drogi ekspresowe i autostrady na 1000 km2;2012;7,73;km
0;drogi ekspresowe i autostrady na 1000 km2;2013;8,72;km
0;drogi ekspresowe i autostrady na 1000 km2;2014;9,61;km
0;drogi ekspresowe i autostrady na 1000 km2;2015;9,76;km
0;autostrady na 1000 km2;2003;1,3;km
0;autostrady na 1000 km2;2004;1,76;km
0;autostrady na 1000 km2;2005;1,76;km
0;autostrady na 1000 km2;2006;2,12;km
0;autostrady na 1000 km2;2007;2,12;km
0;autostrady na 1000 km2;2008;2,45;km
0;autostrady na 1000 km2;2009;2,72;km
0;autostrady na 1000 km2;2010;2,74;km
0;autostrady na 1000 km2;2011;3,42;km
0;autostrady na 1000 km2;2012;4,37;km
0;autostrady na 1000 km2;2013;4,74;km
0;autostrady na 1000 km2;2014;4,98;km
0;autostrady na 1000 km2;2015;4,99;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2003;0,96;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2004;0,97;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2005;0,97;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2006;4,14;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2007;4,13;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2008;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2009;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2010;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2011;4,24;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2012;15,42;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2013;16,08;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2014;22,25;km
1100000000;drogi ekspresowe i autostrady na 1000 km2;2015;22,25;km
1100000000;autostrady na 1000 km2;2003;0,96;km
1100000000;autostrady na 1000 km2;2004;0,97;km
1100000000;autostrady na 1000 km2;2005;0,97;km
