Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
0;linie komunikacji miejskiej;2012;53407;km
0;linie komunikacji miejskiej;2013;54174;km
0;linie komunikacji miejskiej;2014;54951,9;km
0;linie komunikacji miejskiej;2015;56763,1;km
0;linie komunikacji miejskiej na wsi;2012;12251;km
0;linie komunikacji miejskiej na wsi;2013;12857;km
0;linie komunikacji miejskiej na wsi;2014;12790,4;km
0;linie komunikacji miejskiej na wsi;2015;13864,7;km
0;linie autobusowe;2012;50894;km
0;linie autobusowe;2013;51562;km
0;linie autobusowe;2014;52246,5;km
0;linie autobusowe;2015;53951,5;km
0;linie tramwajowe;2012;2196;km
0;linie tramwajowe;2013;2290;km
0;linie tramwajowe;2014;2342;km
0;linie tramwajowe;2015;2424,6;km
1100000000;linie komunikacji miejskiej;2012;4141;km
1100000000;linie komunikacji miejskiej;2013;3597;km
1100000000;linie komunikacji miejskiej;2014;3796,3;km
1100000000;linie komunikacji miejskiej;2015;3901,1;km
1100000000;linie komunikacji miejskiej na wsi;2012;885;km
1100000000;linie komunikacji miejskiej na wsi;2013;933;km
1100000000;linie komunikacji miejskiej na wsi;2014;876,1;km
1100000000;linie komunikacji miejskiej na wsi;2015;942;km
1100000000;linie autobusowe;2012;3842;km
1100000000;linie autobusowe;2013;3299;km
1100000000;linie autobusowe;2014;3497,3;km
1100000000;linie autobusowe;2015;3557,7;km
1100000000;linie tramwajowe;2012;299;km
1100000000;linie tramwajowe;2013;299;km
1100000000;linie tramwajowe;2014;299;km
1100000000;linie tramwajowe;2015;343,4;km
1140000000;linie komunikacji miejskiej;2012;6574;km
1140000000;linie komunikacji miejskiej;2013;6071;km
1140000000;linie komunikacji miejskiej;2014;6324,8;km
1140000000;linie komunikacji miejskiej;2015;6627,7;km
1140000000;linie komunikacji miejskiej na wsi;2012;1309;km
1140000000;linie komunikacji miejskiej na wsi;2013;1253;km
1140000000;linie komunikacji miejskiej na wsi;2014;1287,8;km
1140000000;linie komunikacji miejskiej na wsi;2015;1450,4;km
1140000000;linie autobusowe;2012;6226;km
1140000000;linie autobusowe;2013;5706;km
1140000000;linie autobusowe;2014;5929,7;km
1140000000;linie autobusowe;2015;6249,8;km
1140000000;linie tramwajowe;2012;348;km
1140000000;linie tramwajowe;2013;366;km
1140000000;linie tramwajowe;2014;395,1;km
1140000000;linie tramwajowe;2015;377,9;km
2120000000;linie komunikacji miejskiej;2012;5410;km
